station_id,rows,match_status,coord_station_raw,old_lat,old_lon,final_lat,final_lon,delta_lat,delta_lon,coord_changed
AN_THUAN,543,matched_new_coord,ANTHUAN,9.97638888888889,106.60502222222222,9.97638888888889,106.60502222222222,0.0,0.0,False
BEN_LUC,543,matched_new_coord,BENLUC,10.638333333333334,106.47545555555556,10.638366,106.47543,3.2666666665903676e-05,-2.555555555261435e-05,True
BEN_TRAI,543,matched_new_coord,BENTRAI,9.880838888888889,106.5289,9.880838888888889,106.5289,0.0,0.0,False
BINH_DAI,543,matched_new_coord,BINHDAI,10.196952777777778,106.71112222222224,10.20401944,106.70562222,0.007066662222221964,-0.005500002222248668,True
CAU_NOI,543,matched_new_coord,CAUNOI,10.477280555555556,106.58334444444444,10.477280555555556,106.58334444444444,0.0,0.0,False
CAU_QUAN,543,matched_new_coord,CAUQUAN,9.75845,106.11414166666664,9.75845,106.11414166666664,0.0,0.0,False
DAI_NGAI,543,matched_new_coord,DAINGAI,9.734863888888889,106.0744722222222,9.734863888888889,106.0744722222222,0.0,0.0,False
GO_QUAO,544,matched_new_coord,GOQUAO,9.723144444444443,105.27886111111113,9.723144444444443,105.27886111111113,0.0,0.0,False
HOA_BINH,542,matched_new_coord,HOABINH,10.290344444444443,106.59240277777778,10.290253,106.592389,-9.144444444331157e-05,-1.3777777780887845e-05,True
HUNG_MY,543,matched_new_coord,HUNGMY,9.883058333333334,106.44745833333334,9.883374,106.44775,0.0003156666666654928,0.0002916666666550327,True
HUONG_MY,543,matched_new_coord,HUONGMY,9.980555555555556,106.3888888888889,9.980555555555556,106.3888888888889,0.0,0.0,False
LOC_THUAN,543,matched_new_coord,LOCTHUAN,10.243055555555555,106.6,10.243055555555555,106.6,0.0,0.0,False
MY_HOA,483,matched_new_coord,MYHOA,10.222408333333334,106.3490861111111,10.222313,106.348934,-9.533333333422433e-05,-0.0001521111111060236,True
SON_DOC,543,missing_new_coord_kept_old,,10.054166666666667,106.46388888888887,10.054166666666667,106.46388888888887,0.0,0.0,False
TAN_AN,543,matched_new_coord,TANAN,10.53876111111111,106.42580833333334,10.539013,106.425759,0.00025188888889005057,-4.933333333667633e-05,True
TRAN_DE,543,matched_new_coord,TRANDE,9.528211111111112,106.20145555555555,9.528211111111112,106.20145555555555,0.0,0.0,False
TRA_KHA,543,matched_new_coord,TRAKHA,9.614763888888888,106.24315833333334,9.614763888888888,106.24315833333334,0.0,0.0,False
TRA_VINH,543,matched_new_coord,TRAVINH,9.975675,106.35434722222222,9.975806,106.354472,0.00013099999999965917,0.00012477777778485688,True
TUYEN_NHON,528,matched_new_coord,TUYENNHON,10.658033333333334,106.19173888888888,10.658176,106.19173,0.00014266666666529204,-8.888888871183553e-06,True
VAM_KENH,543,matched_new_coord,VAMKENH,10.274361111111112,106.73715,10.273983,106.737017,-0.0003781111111127444,-0.0001330000000052678,True
XEO_RO,545,matched_new_coord,XEORO,9.864669444444443,105.11068055555556,9.883454,106.4475831,0.018784555555557247,1.3369025444444418,True
XUAN_KHANH,543,matched_new_coord,XUANKHANH,10.790805555555556,106.40295277777778,10.790805555555556,106.40295277777778,0.0,0.0,False
