epoch,train_loss,val_rmse,val_mae,val_r2
1,0.3389774067061288,1.3313342332839966,0.7280157208442688,0.9536517262458801
2,0.3156856323991503,1.3243988752365112,0.7264243960380554,0.9541333913803101
3,0.31389976995331903,1.3204998970031738,0.7323800921440125,0.9544030427932739
4,0.3124052149908883,1.3144274950027466,0.726369321346283,0.9548214673995972
5,0.3027847613607134,1.3034708499908447,0.7302588820457458,0.9555714726448059
6,0.29347082802227564,1.2801464796066284,0.725833535194397,0.9571473002433777
7,0.27545492904526847,1.2920254468917847,0.7704994082450867,0.9563482999801636
8,0.26286856255361013,1.2787505388259888,0.7528746724128723,0.9572407007217407
9,0.2561204705919538,1.2827448844909668,0.7315866947174072,0.956973135471344
10,0.2509011268615723,1.2838941812515259,0.7550696730613708,0.9568960070610046
11,0.24865731767245702,1.2877748012542725,0.7678235769271851,0.956635057926178
12,0.2448907379593168,1.2807754278182983,0.7678412199020386,0.9571051597595215
13,0.23833488098212652,1.2749396562576294,0.7499493360519409,0.9574951529502869
14,0.23633308517081397,1.270020604133606,0.7484326958656311,0.9578225016593933
15,0.231699566755976,1.2816969156265259,0.7637588381767273,0.9570434093475342
16,0.23342616387775966,1.2817434072494507,0.7646088600158691,0.9570403099060059
17,0.23219967441899436,1.2876691818237305,0.7662209272384644,0.9566421508789062
18,0.22644099508013044,1.2778171300888062,0.7648836970329285,0.9573031067848206
19,0.22318641032491413,1.273155927658081,0.7600775957107544,0.957614004611969
20,0.22491009001220977,1.2843719720840454,0.7719134092330933,0.9568639397621155
21,0.22134123700005667,1.287523627281189,0.7793295979499817,0.9566519260406494
22,0.22029162645339967,1.281383752822876,0.7689790725708008,0.9570643901824951
