epoch,train_loss,val_rmse,val_mae,val_r2
1,0.3396177710965276,1.3243777751922607,0.7325723767280579,0.9541348218917847
2,0.32240640046074986,1.3235912322998047,0.7468446493148804,0.9541893005371094
3,0.3118958259001374,1.3201496601104736,0.7520328760147095,0.9544272422790527
4,0.29716794984415174,1.2577829360961914,0.711115837097168,0.9586314558982849
5,0.27728489926084876,1.2513408660888672,0.7213540077209473,0.9590541124343872
6,0.26861514057964087,1.2820299863815308,0.7694768905639648,0.9570210576057434
7,0.2639935598708689,1.2586504220962524,0.7203397154808044,0.9585743546485901
8,0.25440595718100667,1.2425073385238647,0.6972482800483704,0.9596301317214966
9,0.24550086120143533,1.266162395477295,0.7386521100997925,0.9580783843994141
10,0.24298768304288387,1.2419031858444214,0.7078555226325989,0.9596694111824036
11,0.23712617112323642,1.2275316715240479,0.6879614591598511,0.9605974555015564
12,0.23293231846764684,1.2596896886825562,0.7159690260887146,0.9585059285163879
13,0.22731316275894642,1.2389925718307495,0.7291547060012817,0.959858238697052
14,0.2209594054147601,1.2457724809646606,0.7232517600059509,0.9594177007675171
15,0.22060906421393156,1.2424263954162598,0.7265719771385193,0.9596354365348816
16,0.20743336691521108,1.2272294759750366,0.7108026742935181,0.9606168270111084
17,0.20532436319626868,1.2324599027633667,0.7163734436035156,0.9602804183959961
18,0.20505107007920742,1.2436729669570923,0.7185177803039551,0.9595543742179871
19,0.2024429887533188,1.255677580833435,0.7332993745803833,0.9587697982788086
20,0.20013420609757304,1.2336198091506958,0.7141319513320923,0.960205614566803
21,0.195194685831666,1.242639422416687,0.7254478335380554,0.9596215486526489
22,0.19102731277234852,1.2483407258987427,0.7290478944778442,0.9592502117156982
23,0.1913400450721383,1.241603136062622,0.7218323945999146,0.9596889019012451
24,0.19188905856572092,1.243105411529541,0.726440966129303,0.959591269493103
