feature,importance
Distance_to_Coast_first,0.14238279
rainy_day_sum,0.14174233
wind_speed_10m_ms_mean,0.07165985
lat_first,0.067461096
wind_speed_10m_ms_max,0.054993115
Distance_to_River_first,0.052952833
lon_first,0.0522509
runoff_mm_sum,0.052250553
solar_radiation_mj_m2_sum,0.04027296
DEM_first,0.039664872
soil_moisture_layer1_vol_mean,0.038381696
runoff_mm_max,0.03744427
week_sin,0.023175862
potential_evaporation_mm_sum,0.018097395
week_cos,0.017513018
doy_sin,0.017049097
temperature_2m_c_mean,0.015966112
NDVI_median_week,0.013725275
doy_cos,0.012986541
surface_pressure_hpa_min,0.012943166
precipitation_mm_sum,0.012869405
NDWI_median_week,0.012121426
Red_SWIR1_median_week,0.009280432
BGRratio_median_week,0.00796349
NDCI_median_week,0.0077653015
MNDWI_median_week,0.0072923093
B12_median_week,0.0070408136
Red_SWIR2_median_week,0.0064284517
B11_median_week,0.006324684
s2_available,0.0
