feature,importance,split
NDVI_median_week,0.009802231,fold_4
B11_median_week,0.0055235494,fold_4
B12_median_week,0.0083038835,fold_4
Red_SWIR1_median_week,0.010916058,fold_4
Red_SWIR2_median_week,0.008635093,fold_4
BGRratio_median_week,0.0110728135,fold_4
NDCI_median_week,0.008334771,fold_4
s2_available,0.0,fold_4
lon_first,0.040640637,fold_5
lat_first,0.063678786,fold_5
DEM_first,0.03370485,fold_5
Distance_to_River_first,0.06776353,fold_5
Distance_to_Coast_first,0.18789363,fold_5
doy_sin,0.018767865,fold_5
doy_cos,0.013866294,fold_5
week_sin,0.030729538,fold_5
week_cos,0.01778126,fold_5
temperature_2m_c_mean,0.016979147,fold_5
precipitation_mm_sum,0.009945781,fold_5
rainy_day_sum,0.11579063,fold_5
potential_evaporation_mm_sum,0.019645259,fold_5
runoff_mm_sum,0.030018408,fold_5
runoff_mm_max,0.042366877,fold_5
wind_speed_10m_ms_mean,0.070910394,fold_5
wind_speed_10m_ms_max,0.063465156,fold_5
surface_pressure_hpa_min,0.013501043,fold_5
soil_moisture_layer1_vol_mean,0.026061967,fold_5
solar_radiation_mj_m2_sum,0.041192573,fold_5
MNDWI_median_week,0.007160505,fold_5
NDWI_median_week,0.012046786,fold_5
NDVI_median_week,0.015515961,fold_5
B11_median_week,0.0070617953,fold_5
B12_median_week,0.0067142863,fold_5
Red_SWIR1_median_week,0.007219833,fold_5
Red_SWIR2_median_week,0.004714731,fold_5
BGRratio_median_week,0.009662832,fold_5
NDCI_median_week,0.0051997057,fold_5
s2_available,0.0,fold_5
