feature,importance,split
lon_first,0.06264122,fold_1
lat_first,0.045582663,fold_1
DEM_first,0.03220271,fold_1
Distance_to_River_first,0.0657766,fold_1
Distance_to_Coast_first,0.11097156,fold_1
doy_sin,0.01663626,fold_1
doy_cos,0.012821027,fold_1
week_sin,0.009474046,fold_1
week_cos,0.032050885,fold_1
temperature_2m_c_mean,0.016348794,fold_1
precipitation_mm_sum,0.013505395,fold_1
rainy_day_sum,0.14606093,fold_1
potential_evaporation_mm_sum,0.020841675,fold_1
runoff_mm_sum,0.101617485,fold_1
runoff_mm_max,0.0491496,fold_1
wind_speed_10m_ms_mean,0.07123926,fold_1
wind_speed_10m_ms_max,0.053832922,fold_1
surface_pressure_hpa_min,0.014750578,fold_1
soil_moisture_layer1_vol_mean,0.021360483,fold_1
solar_radiation_mj_m2_sum,0.01748985,fold_1
MNDWI_median_week,0.006141418,fold_1
NDWI_median_week,0.008899619,fold_1
NDVI_median_week,0.014507869,fold_1
B11_median_week,0.0063353563,fold_1
B12_median_week,0.009019013,fold_1
Red_SWIR1_median_week,0.014420109,fold_1
Red_SWIR2_median_week,0.007196569,fold_1
BGRratio_median_week,0.009666986,fold_1
NDCI_median_week,0.009459087,fold_1
s2_available,0.0,fold_1
lon_first,0.0692029,fold_2
lat_first,0.09825039,fold_2
DEM_first,0.031183818,fold_2
Distance_to_River_first,0.065253876,fold_2
Distance_to_Coast_first,0.0997635,fold_2
doy_sin,0.01323161,fold_2
doy_cos,0.018022314,fold_2
week_sin,0.008952336,fold_2
week_cos,0.017993972,fold_2
temperature_2m_c_mean,0.014403367,fold_2
precipitation_mm_sum,0.0122936955,fold_2
rainy_day_sum,0.15009478,fold_2
potential_evaporation_mm_sum,0.014366332,fold_2
runoff_mm_sum,0.0663967,fold_2
runoff_mm_max,0.050573938,fold_2
wind_speed_10m_ms_mean,0.051332764,fold_2
wind_speed_10m_ms_max,0.057592213,fold_2
surface_pressure_hpa_min,0.01594972,fold_2
soil_moisture_layer1_vol_mean,0.041889027,fold_2
solar_radiation_mj_m2_sum,0.02545795,fold_2
MNDWI_median_week,0.0072975154,fold_2
NDWI_median_week,0.008361877,fold_2
NDVI_median_week,0.018584022,fold_2
B11_median_week,0.0060374816,fold_2
B12_median_week,0.005407407,fold_2
Red_SWIR1_median_week,0.008027206,fold_2
Red_SWIR2_median_week,0.007376471,fold_2
BGRratio_median_week,0.0051381798,fold_2
NDCI_median_week,0.011564746,fold_2
s2_available,0.0,fold_2
lon_first,0.059796687,fold_3
lat_first,0.05745812,fold_3
DEM_first,0.06363991,fold_3
Distance_to_River_first,0.026562758,fold_3
Distance_to_Coast_first,0.25725573,fold_3
doy_sin,0.013541129,fold_3
doy_cos,0.010189169,fold_3
week_sin,0.037140787,fold_3
week_cos,0.008094286,fold_3
temperature_2m_c_mean,0.016722647,fold_3
precipitation_mm_sum,0.011908972,fold_3
rainy_day_sum,0.13387786,fold_3
potential_evaporation_mm_sum,0.012577663,fold_3
runoff_mm_sum,0.019930061,fold_3
runoff_mm_max,0.015863203,fold_3
wind_speed_10m_ms_mean,0.025121758,fold_3
wind_speed_10m_ms_max,0.03214686,fold_3
surface_pressure_hpa_min,0.009568903,fold_3
soil_moisture_layer1_vol_mean,0.071302846,fold_3
solar_radiation_mj_m2_sum,0.058008038,fold_3
MNDWI_median_week,0.0073091877,fold_3
NDWI_median_week,0.010759257,fold_3
NDVI_median_week,0.010216294,fold_3
B11_median_week,0.006665237,fold_3
B12_median_week,0.0057594776,fold_3
Red_SWIR1_median_week,0.0058189537,fold_3
Red_SWIR2_median_week,0.004219394,fold_3
BGRratio_median_week,0.004276636,fold_3
NDCI_median_week,0.0042681973,fold_3
s2_available,0.0,fold_3
lon_first,0.028973049,fold_4
lat_first,0.07233552,fold_4
DEM_first,0.03759307,fold_4
Distance_to_River_first,0.0394074,fold_4
Distance_to_Coast_first,0.056029502,fold_4
doy_sin,0.023068618,fold_4
doy_cos,0.010033901,fold_4
week_sin,0.0295826,fold_4
week_cos,0.011644694,fold_4
temperature_2m_c_mean,0.015376597,fold_4
precipitation_mm_sum,0.016693175,fold_4
rainy_day_sum,0.16288751,fold_4
potential_evaporation_mm_sum,0.023056047,fold_4
runoff_mm_sum,0.043290094,fold_4
runoff_mm_max,0.029267745,fold_4
wind_speed_10m_ms_mean,0.13969508,fold_4
wind_speed_10m_ms_max,0.06792844,fold_4
surface_pressure_hpa_min,0.010945586,fold_4
soil_moisture_layer1_vol_mean,0.031294145,fold_4
solar_radiation_mj_m2_sum,0.059216384,fold_4
MNDWI_median_week,0.008552922,fold_4
NDWI_median_week,0.02053959,fold_4
