time_unit,group_type,group,feature,n,missing_pct,pearson_target,spearman_target,pearson_log_target,spearman_log_target,abs_spearman_log_target,feature_group
weekly,overall,all,wind_speed_10m_ms_mean,1117,0.0,0.4922155452351809,0.5498699539291015,0.5471193432095849,0.5498739636060898,0.5498739636060898,weather
weekly,overall,all,wind_speed_10m_ms_max,1117,0.0,0.47163379476427314,0.5210166968005312,0.527900924481547,0.5210161333284165,0.5210161333284165,weather
weekly,overall,all,Distance_to_Coast_first,1117,0.0,-0.30308812556872256,-0.4962034745367867,-0.4596093462685536,-0.49619143376778974,0.49619143376778974,static
weekly,overall,all,rainy_day_sum,1117,0.0,-0.44104662023337826,-0.4219285377108642,-0.43029447055260317,-0.4219335722409568,0.4219335722409568,weather
weekly,overall,all,soil_moisture_layer1_vol_mean,1117,0.0,-0.3284699757155108,-0.4089205720522548,-0.3930028694897342,-0.408925047383564,0.408925047383564,weather
weekly,overall,all,lat_first,1117,0.0,-0.27985764187096773,-0.3741740566892933,-0.35275366969412963,-0.37417054049585674,0.37417054049585674,static
weekly,overall,all,runoff_mm_sum,1117,0.0,-0.2867017670941702,-0.37413245285216745,-0.3309147247140104,-0.37414204002431956,0.37414204002431956,weather
weekly,overall,all,runoff_mm_max,1117,0.0,-0.24306222333032138,-0.3621791398825248,-0.287474203485108,-0.3621861951326515,0.3621861951326515,weather
weekly,overall,all,precipitation_mm_sum,1117,0.0,-0.28244279561767693,-0.34197319450745084,-0.322942051805847,-0.34198277439178393,0.34198277439178393,weather
weekly,overall,all,DEM_first,1117,0.0,-0.1569773884094183,-0.3077597266009641,-0.19673434265701342,-0.3077660531236827,0.3077660531236827,static
weekly,overall,all,surface_pressure_hpa_min,1117,0.0,0.24242178791521857,0.27541283162240865,0.2680292109016942,0.275408025227771,0.275408025227771,weather
weekly,overall,all,Red_SWIR2_median_week,337,0.6982990152193376,0.25766929090420143,0.22984549162093396,0.21697305589711463,0.22984549162093396,0.22984549162093396,spectral
weekly,overall,all,Red_SWIR1_median_week,337,0.6982990152193376,0.23468969360146524,0.22831305142979347,0.19888524981312483,0.22831305142979347,0.22831305142979347,spectral
weekly,overall,all,lon_first,1117,0.0,0.06433034425014912,0.2191861174723458,0.08356725268732806,0.2191881912081449,0.2191881912081449,static
weekly,overall,all,month_sin,1117,0.0,0.15953647039012528,0.20048570112636513,0.17829123725228527,0.200481328192067,0.200481328192067,season
weekly,overall,all,MNDWI_median_week,337,0.6982990152193376,0.2373423190337514,0.19207613194323012,0.18540253439725585,0.19207613194323012,0.19207613194323012,spectral
weekly,overall,all,s2_available,1117,0.0,0.14326974731494674,0.1730606809198561,0.17386158742785648,0.17305766075325668,0.17305766075325668,spectral
weekly,overall,all,B11_median_week,337,0.6982990152193376,-0.18690788424120233,-0.1640646458147579,-0.15400082412931007,-0.1640646458147579,0.1640646458147579,spectral
weekly,overall,all,B12_median_week,337,0.6982990152193376,-0.18127598453080093,-0.16059100148652802,-0.15283712410524047,-0.16059100148652802,0.16059100148652802,spectral
weekly,overall,all,NDCI_median_week,337,0.6982990152193376,-0.12073110398417042,-0.1387494080907936,-0.1405823402254754,-0.1387494080907936,0.1387494080907936,spectral
weekly,overall,all,doy_sin,1117,0.0,0.11936381295189961,0.13416361990180342,0.13926460647327504,0.13416116258186492,0.13416116258186492,season
weekly,overall,all,NDVI_median_week,337,0.6982990152193376,-0.1167763108922798,-0.12366204449846895,-0.09123898234737493,-0.12366204449846895,0.12366204449846895,spectral
weekly,overall,all,week_sin,1117,0.0,0.11871878472129625,0.12184274977553342,0.1339316522664456,0.12184105954390402,0.12184105954390402,season
weekly,overall,all,solar_radiation_mj_m2_sum,1117,0.0,-0.22250309495417642,-0.11024876813003272,-0.1709453409110076,-0.11024827154432415,0.11024827154432415,weather
