time_unit,group_type,group,feature,n,missing_pct,pearson_target,spearman_target,pearson_log_target,spearman_log_target,abs_spearman_log_target,feature_group
weekly,season_group,dry,wind_speed_10m_ms_mean,1081,0.0,0.5153734977968827,0.5744526434225322,0.5677830001045773,0.5744568256578967,0.5744568256578967,weather
weekly,season_group,dry,wind_speed_10m_ms_max,1081,0.0,0.4973334609184786,0.54865585935826,0.5516836302264103,0.548655152977087,0.548655152977087,weather
weekly,season_group,dry,Distance_to_Coast_first,1081,0.0,-0.30650636242126833,-0.5023859328349284,-0.4627973932729177,-0.5023730119741772,0.5023730119741772,static
weekly,season_group,dry,soil_moisture_layer1_vol_mean,1081,0.0,-0.35908363475821253,-0.44042354687576124,-0.42876624405685426,-0.44042861831490454,0.44042861831490454,weather
weekly,season_group,dry,rainy_day_sum,1081,0.0,-0.4586080057355761,-0.42822935684812896,-0.4380949663903204,-0.4282346349957597,0.4282346349957597,weather
weekly,season_group,dry,runoff_mm_sum,1081,0.0,-0.31543961363616196,-0.3931377545635598,-0.3610321690811754,-0.39314811392200955,0.39314811392200955,weather
weekly,season_group,dry,runoff_mm_max,1081,0.0,-0.27697792770950014,-0.38715901071792796,-0.32789205167234897,-0.38716677633643776,0.38716677633643776,weather
weekly,season_group,dry,lat_first,1081,0.0,-0.2850399049798053,-0.3773310356228164,-0.3541230014408892,-0.3773273345563941,0.3773273345563941,static
weekly,season_group,dry,precipitation_mm_sum,1081,0.0,-0.3061250456462262,-0.3640219317911343,-0.3496530087589561,-0.3640322974463199,0.3640322974463199,weather
weekly,season_group,dry,DEM_first,1081,0.0,-0.156271019642511,-0.31143988259092104,-0.19598744543163482,-0.3114466595283134,0.3114466595283134,static
weekly,season_group,dry,surface_pressure_hpa_min,1081,0.0,0.2509498099218126,0.2836872502839045,0.27569614635653555,0.28368235148796755,0.28368235148796755,weather
weekly,season_group,dry,month_sin,1081,0.0,0.2145875699390072,0.23013463080857433,0.24792219118720996,0.2301297857164297,0.2301297857164297,season
weekly,season_group,dry,Red_SWIR2_median_week,328,0.696577243293247,0.27927953757287116,0.22601384347228146,0.22425341487103423,0.22601384347228146,0.22601384347228146,spectral
