time_unit,feature_group,n_features,median_abs_spearman_log,max_abs_spearman_log
monthly,weather,11,0.3807304350290577,0.5973671277153022
monthly,static,5,0.2833379049596084,0.4635125944125876
monthly,spectral,10,0.15970443541202634,0.24095913667373103
monthly,season,6,0.0510119617321692,0.1978168537240471
weekly,weather,11,0.3621861951326515,0.5498739636060898
weekly,static,5,0.3077660531236827,0.49619143376778974
weekly,spectral,10,0.16232782365064297,0.22984549162093396
weekly,season,6,0.09171019722807722,0.200481328192067
