epoch,train_loss,val_rmse,val_mae,val_r2
1,0.3610019173586007,3.0461461544036865,2.1189301013946533,0.758651852607727
2,0.26285697610089276,2.6103227138519287,1.8775179386138916,0.8227726221084595
3,0.20352076174634876,2.649881601333618,1.9672446250915527,0.8173602223396301
4,0.17533314589298132,2.658168315887451,1.9268319606781006,0.8162161111831665
5,0.15652461598316827,2.6049861907958984,1.875257968902588,0.8234965205192566
6,0.14920400579770407,2.6144936084747314,1.8827303647994995,0.8222058415412903
7,0.12830348561207452,2.7223219871520996,1.9349863529205322,0.8072380423545837
8,0.11930019656817119,2.5548176765441895,1.825638771057129,0.8302295207977295
9,0.10867012969472191,2.676229238510132,1.8788204193115234,0.8137102127075195
10,0.09963382058071368,2.6032192707061768,1.8441716432571411,0.8237358927726746
11,0.09064568082491557,2.639209747314453,1.881579875946045,0.8188283443450928
12,0.08575738955176238,2.6127514839172363,1.8572134971618652,0.8224426507949829
13,0.07667463114767363,2.7494561672210693,1.926579236984253,0.8033762574195862
14,0.06974716066862598,2.6590824127197266,1.8518729209899902,0.8160897493362427
15,0.06785762106830423,2.663233518600464,1.8619602918624878,0.8155150413513184
16,0.06587659285375566,2.6024844646453857,1.8156567811965942,0.8238353729248047
