epoch,train_loss,val_rmse,val_mae,val_r2
1,0.16307237595319748,3.301157236099243,2.6694536209106445,0.7151129249193322
2,0.05059784310204642,2.865989923477173,2.2843384742736816,0.7852715039564171
3,0.03897126391530037,2.6153409481048584,2.0479307174682617,0.82118789063729
4,0.03314362306679998,2.5317206382751465,1.9254179000854492,0.832439411867883
5,0.030679013580083847,2.6834826469421387,2.0576417446136475,0.8117487238978939
6,0.028011057951620646,2.502246856689453,1.8816730976104736,0.8363181005549366
7,0.026173470807926997,2.614197015762329,2.0346920490264893,0.8213442750361721
8,0.02416670380958489,2.554678201675415,1.992485761642456,0.8293867659837727
9,0.023486048196043288,2.602343797683716,2.0295112133026123,0.8229607045352945
10,0.021876206621527672,2.5142629146575928,1.9488919973373413,0.8347422938939816
11,0.01933873873203993,2.4350621700286865,1.8416043519973755,0.8449897526861514
12,0.018790728385959354,2.5778074264526367,1.9594531059265137,0.8262834091922642
13,0.01792880767690284,2.5333704948425293,1.9425239562988281,0.8322209529893655
14,0.01865210642239877,2.4865856170654297,1.9005643129348755,0.8383606253613443
15,0.016771421102540835,2.4990482330322266,1.898970365524292,0.8367363109345471
16,0.016287736940596785,2.54496169090271,1.9540306329727173,0.8306821165897873
17,0.016332326270639897,2.494832992553711,1.8905179500579834,0.8372866131785125
18,0.016341864024954182,2.5422825813293457,1.9455852508544922,0.8310384264219907
19,0.016067923259522235,2.532013177871704,1.9385145902633667,0.8324006829584217
