year_month,station_id,observed_days,salinity_mean,salinity_median,salinity_std,salinity_min,salinity_max
2020-04,AN_THUAN,15,26.773333333333333,26.9,0.8438573564858203,25.0,27.9
2020-04,BEN_LUC,15,11.386666666666667,11.4,1.8799189445545885,8.5,14.1
2020-04,BEN_TRAI,15,18.293333333333333,18.8,1.9869095409226674,14.9,21.0
2020-04,BINH_DAI,15,26.9,27.5,1.7357583768650355,24.1,29.2
2020-04,CAU_NOI,15,19.56,19.7,1.3605671086509696,17.7,21.6
2020-04,CAU_QUAN,15,5.153333333333333,4.9,1.4525183385449987,3.0,8.2
2020-04,DAI_NGAI,15,4.66,4.0,1.7128922908344237,2.9,8.0
2020-04,GO_QUAO,15,13.66,15.0,2.991129743567996,8.6,16.6
2020-04,HOA_BINH,15,15.186666666666667,14.8,1.3674097863513783,13.3,18.0
2020-04,HUNG_MY,15,10.74,10.9,2.852517684933284,6.1,14.4
2020-04,HUONG_MY,15,6.38,6.9,1.5529695057258162,2.9,8.8
2020-04,LOC_THUAN,15,15.433333333333334,15.9,1.5272134599920701,12.4,17.8
2020-04,SON_DOC,15,23.126666666666665,23.2,1.1780532771524064,20.8,25.4
2020-04,TAN_AN,15,9.74,9.6,1.3542525613784155,7.6,11.7
2020-04,TRAN_DE,15,17.32,16.2,3.2628208654475643,13.0,23.0
2020-04,TRA_KHA,15,13.466666666666667,13.1,1.8641990492536182,10.9,16.8
2020-04,TRA_VINH,15,5.153333333333333,5.6,1.4831754865185451,2.9,6.9
2020-04,TUYEN_NHON,15,5.013333333333334,5.3,0.8862978108535579,3.6,6.4
2020-04,VAM_KENH,15,23.6,23.8,1.125674401033822,21.2,25.4
2020-04,XEO_RO,15,21.42,21.7,5.817485956763699,12.5,28.4
2020-04,XUAN_KHANH,15,3.0266666666666664,3.1,0.690203558655671,2.1,3.9
2020-05,AN_THUAN,15,23.36,22.8,2.523263193338568,19.0,26.8
2020-05,BEN_LUC,15,8.073333333333332,8.1,2.6410135139662536,3.6,12.3
2020-05,BEN_TRAI,15,14.806666666666667,14.3,2.08479758067323,12.3,19.3
2020-05,BINH_DAI,15,23.09333333333333,23.1,2.480629720358082,18.6,27.0
2020-05,CAU_NOI,15,15.620000000000001,16.0,2.4536270528109427,10.9,18.9
2020-05,CAU_QUAN,15,4.446666666666667,4.7,1.3346303215640258,2.0,6.5
2020-05,DAI_NGAI,15,4.2733333333333325,3.9,1.9797065679635695,1.4,7.1
2020-05,GO_QUAO,15,7.833333333333333,7.9,1.0376254944182253,6.0,9.7
2020-05,HOA_BINH,15,9.766666666666667,9.4,1.961292091114087,6.1,12.3
2020-05,HUNG_MY,15,9.586666666666668,9.3,2.2452701608577295,6.0,13.4
2020-05,HUONG_MY,15,5.1,5.0,1.5883504471171164,2.8,7.7
2020-05,LOC_THUAN,15,12.753333333333334,13.8,2.024092977348714,8.8,15.7
2020-05,SON_DOC,15,19.586666666666666,20.3,4.812315549959387,8.8,24.7
2020-05,TAN_AN,15,7.286666666666666,7.4,1.2866716012735364,5.0,9.7
2020-05,TRAN_DE,15,17.3,17.4,1.9885385875777508,13.8,20.9
2020-05,TRA_KHA,15,10.526666666666667,10.4,2.6558470982953466,6.4,14.8
2020-05,TRA_VINH,15,4.52,4.0,1.8233407329875093,1.5,7.4
2020-05,TUYEN_NHON,15,4.946666666666667,4.8,0.5817052108937585,3.9,6.2
2020-05,VAM_KENH,15,19.426666666666666,18.2,2.4352960121239224,16.0,23.1
2020-05,XEO_RO,16,14.95625,15.2,2.954763103871442,11.0,19.6
2020-05,XUAN_KHANH,15,2.14,1.9,0.8139849068449787,1.0,3.8
2020-06,AN_THUAN,15,14.979999999999999,15.2,1.922126798255368,12.0,17.9
2020-06,BEN_LUC,15,1.4866666666666668,1.1,0.8983052827142791,0.4,3.3
2020-06,BEN_TRAI,15,10.266666666666667,10.2,1.9278658321228337,6.5,14.8
2020-06,BINH_DAI,15,18.666666666666668,18.7,1.4336101615286125,16.9,21.9
2020-06,CAU_NOI,15,6.866666666666666,5.9,2.633212776022765,2.7,11.3
2020-06,CAU_QUAN,15,2.466666666666667,2.8,1.2210456096937496,0.1,4.0
2020-06,DAI_NGAI,15,1.62,1.8,0.9652534826222,0.2,3.1
2020-06,GO_QUAO,16,4.30625,4.5,1.292784462571649,2.1,6.1
2020-06,HOA_BINH,15,4.473333333333333,4.6,2.1687608926582502,1.0,7.8
2020-06,HUNG_MY,15,6.546666666666667,7.0,2.103353331728941,3.0,9.4
2020-06,HUONG_MY,15,2.6133333333333337,2.3,1.3458224605192528,0.8,5.3
2020-06,LOC_THUAN,15,8.153333333333332,8.2,2.2321887614327474,4.4,11.4
2020-06,SON_DOC,15,6.6466666666666665,7.1,2.649222707206956,1.6,11.4
2020-06,TAN_AN,15,2.58,2.8,1.2462515224234862,0.7,4.6
2020-06,TRAN_DE,15,12.046666666666665,12.2,3.4230034152703355,4.1,15.8
2020-06,TRA_KHA,15,6.546666666666667,6.2,2.382035943913366,2.3,10.7
2020-06,TRA_VINH,15,2.4866666666666664,2.7,1.2310661271937464,0.1,4.5
2020-06,TUYEN_NHON,15,1.7866666666666666,1.8,1.1728272718196016,0.5,3.9
2020-06,VAM_KENH,15,14.086666666666668,13.8,1.5329088439334946,11.9,16.5
2020-06,XEO_RO,16,8.4625,8.6,0.8585841057617278,7.1,9.7
2020-06,XUAN_KHANH,15,0.36666666666666664,0.2,0.26903708365381973,0.1,1.0
2021-01,AN_THUAN,13,21.015384615384615,21.9,2.684786196902264,16.5,24.4
2021-01,BEN_LUC,31,1.2193548387096773,1.1,0.5522193735818581,0.7,3.4
2021-01,BEN_TRAI,13,12.007692307692308,13.1,3.0587201949131,4.3,14.8
2021-01,BINH_DAI,13,19.23846153846154,19.0,2.7888284462411996,13.4,23.3
2021-01,CAU_NOI,31,10.2,10.7,3.0253374467432006,4.3,15.8
2021-01,CAU_QUAN,31,4.109677419354839,2.4,3.401701029260672,0.3,10.2
2021-01,DAI_NGAI,31,3.52258064516129,2.7,2.16774993598114,0.3,7.3
2021-01,GO_QUAO,31,1.0064516129032257,0.6,0.9405443402168653,0.1,3.4
2021-01,HOA_BINH,31,12.035483870967743,10.5,4.378321473433761,4.0,19.8
2021-01,HUNG_MY,31,9.738709677419354,10.0,2.375103846060187,5.5,14.3
2021-01,HUONG_MY,13,4.638461538461538,5.2,2.619013319788727,1.3,7.6
2021-01,LOC_THUAN,13,6.961538461538462,6.3,3.9152561562726347,2.1,13.7
2021-01,MY_HOA,31,2.0258064516129033,1.2,1.6905556762862486,0.4,5.6
2021-01,SON_DOC,13,7.592307692307693,7.9,2.0455078988120685,3.4,10.1
2021-01,TAN_AN,31,0.3548387096774194,0.2,0.41700416438961324,0.2,2.0
2021-01,TRAN_DE,31,13.506451612903225,13.1,2.449889178972656,10.2,18.7
2021-01,TRA_KHA,31,10.435483870967742,8.5,4.0002956879958065,5.2,18.2
2021-01,TRA_VINH,31,3.796774193548387,2.7,2.69251850763899,1.0,9.1
2021-01,TUYEN_NHON,31,0.1,0.1,0.0,0.1,0.1
2021-01,VAM_KENH,31,16.096774193548388,15.3,2.692766095915468,12.2,21.0
2021-01,XEO_RO,31,7.66774193548387,7.2,3.9448182971905643,2.5,18.3
2021-01,XUAN_KHANH,31,0.1,0.1,0.0,0.1,0.1
2021-02,AN_THUAN,12,23.933333333333334,24.1,0.8445906306213278,22.6,25.4
