epoch,train_loss,val_rmse,val_mae,val_r2
1,0.13031612506934576,3.1442105770111084,2.5727882385253906,0.7415577354889695
2,0.07340589878814562,2.7606613636016846,2.071504592895508,0.8007645751535262
3,0.06180752835103444,3.082468032836914,2.3057098388671875,0.7516080421005664
4,0.05825574887650353,3.0855507850646973,2.3391823768615723,0.7511109631184054
5,0.05563192282404218,3.0119237899780273,2.327284097671509,0.7628471948171598
6,0.053928072431257794,3.2522950172424316,2.4480795860290527,0.7234840318232589
7,0.05017618888190815,3.23720383644104,2.4605748653411865,0.7260442562437611
8,0.04795054090874536,3.225128412246704,2.4109532833099365,0.7280842493699595
9,0.04760988136487348,3.289548635482788,2.526599168777466,0.7171130295878818
10,0.047540041112474035,3.546889066696167,2.6203629970550537,0.6711214446609879
