station_id,date,station_name_first,river_name_first,lon_first,lat_first,DEM_first,Distance_to_River_first,Distance_to_Coast_first,temperature_2m_c_mean,temperature_2m_c_max,temperature_2m_c_min,temperature_2m_c_std,dewpoint_temperature_2m_c_mean,dewpoint_temperature_2m_c_std,precipitation_mm_sum,precipitation_mm_mean,precipitation_mm_max,rainy_day_sum,potential_evaporation_mm_sum,potential_evaporation_mm_mean,runoff_mm_sum,runoff_mm_max,wind_u_10m_ms_mean,wind_v_10m_ms_mean,wind_speed_10m_ms_mean,wind_speed_10m_ms_max,wind_speed_10m_ms_std,surface_pressure_hpa_mean,surface_pressure_hpa_min,surface_pressure_hpa_std,soil_moisture_layer1_vol_mean,soil_moisture_layer1_vol_min,soil_moisture_layer1_vol_std,solar_radiation_mj_m2_sum,solar_radiation_mj_m2_mean,salinity_max_max,salinity_max_mean,salinity_max_min,salinity_max_std,year,month,week,day_of_year,n_days,completeness_pct,mean_reliable,sal_p90_raw,source_format,coverage,quality_verified
ANDINH,2020-01-05,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,26.450502649943047,26.73630104064944,26.164704259236657,0.4041799602413822,21.740817642211937,0.1110339055490428,0.0100499078143911,0.0050249539071955,0.0059908315961365,2,22.235207259655,11.1176036298275,0.9191334247589112,0.4640817642211914,-1.7280099193255107,0.2642493844032287,1.7499251409515693,1.7548266620291328,0.006931797584148,1012.6915177408854,1011.9072054036458,1.1091851444608003,0.1539014180501302,0.1530043284098307,0.0012686763359759,34.019596,17.009798,0.4,0.2,0.0,0.282842712474619,2020,1,1,5,2.0,0.286,False,0.36000000000000004,hourly_sparse_2020,0.5,True
ANDINH,2020-01-12,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,27.21551178826229,27.391359583536826,27.046665445963583,0.1724536963279413,21.704505750868083,0.1593838878747047,0.0932753086075877,0.0310917695358625,0.0483095645904541,3,40.6639501452446,13.554650048414866,1.2325793504714966,0.4193782806396484,-1.7392527262369792,0.3805603451199001,1.8129733482700376,2.1075901847207783,0.4273460194094659,1010.4275602213542,1010.1416878255208,0.2892179065382869,0.1431649525960286,0.1414012908935547,0.0017986412223269,59.869032000000004,19.956344,5.3,4.833333333333333,4.2,0.5686240703077329,2020,1,2,12,3.0,0.429,False,5.24,hourly_sparse_2020,0.5,True
ANDINH,2020-01-19,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,26.49157692591352,26.92179896036788,25.93793131510421,0.4515873166692221,21.187934811910026,0.7535313254261703,0.2491453049060508,0.0622863262265127,0.1545907115882983,3,54.83835190534592,13.70958797633648,1.4643520116806028,0.3807991743087768,-2.119620621204376,0.225765824317932,2.1392703672194675,2.7727203177087665,0.4878544879796454,1011.8484065755208,1010.6362939453124,0.8994280661174106,0.1503578821818033,0.1440823872884114,0.0064600121989763,80.128732,20.032183,3.9,"2,725",1.8,1.0404326023342405,2020,1,3,19,4.0,0.571,True,3.72,hourly_sparse_2020,0.5,True
ANDINH,2020-01-26,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,26.40569537480676,26.84328804016116,25.804243342081747,0.5081269565679062,21.40825122197471,0.97279148749429,0.3260420511601579,0.0815105127900394,0.2974271774291992,4,55.87874352931976,13.96968588232994,1.2544989585876465,0.3315508365631103,-2.4152631958325705,0.9164584179719288,2.62593693504096,3.02315954462715,0.4184103145112449,1012.742374267578,1010.8588362630207,1.7865011763395642,0.1348959604899088,0.1321207682291666,0.0030720338294361,83.007732,20.751933,2.2,"2,025",1.9,0.1258305739211793,2020,1,4,26,4.0,0.571,True,2.14,hourly_sparse_2020,0.5,True
ANDINH,2020-02-02,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,25.844772805108,26.154419199625693,25.394397354126,0.3990761855951668,20.74126184251575,1.2408209175834086,1.7048114831368366,0.5682704943789455,1.6963839522645685,3,40.60525447130203,13.535084823767344,0.8223205804824828,0.2815723419189453,-2.424265835020277,0.5671660502751669,2.538217658065445,2.818763353527237,0.2765374439534129,1013.3362917751735,1012.4361865234376,1.1338135987027935,0.1340596940782334,0.1295305887858072,0.0040505736778842,61.103635999999995,20.367878666666666,2.2,2.1,1.9,0.1732050807568879,2020,2,5,33,3.0,0.429,False,2.2,hourly_sparse_2020,0.5,True
ANDINH,2020-02-09,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,26.32857496473527,27.2437568664551,25.82939491271975,0.7936611923620646,19.953896882798954,0.9172546938671652,0.0042825935793188,0.0014275311931062,0.0034302472613489,2,45.79655081033707,15.265516936779022,0.7266998291015624,0.2558678388595581,-2.195067021581861,0.2926523685455323,2.294699677311617,3.043835106854817,0.82999910239813,1013.4480946180556,1013.2839534505208,0.1658667793630448,0.1285315619574652,0.1258157094319661,0.0038910666488226,66.980452,22.326817333333334,4.5,3.6,1.8,1.5588457268119893,2020,2,6,40,3.0,0.429,False,4.5,hourly_sparse_2020,0.5,True
ANDINH,2020-02-16,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,27.12459891637168,27.89120445251467,26.47340100606283,0.5919714942086324,21.709175841013604,1.0538053410792514,0.1320502717589988,0.0330125679397497,0.1140141084761126,3,62.14874982833862,15.537187457084656,0.8720457553863524,0.2263933420181274,-2.835060487190882,0.6477197309335072,2.940597459072931,3.761245873732749,0.9129262095878886,1013.5861686197918,1013.1636783854168,0.3278580741151684,0.1426811218261718,0.1322879791259765,0.007822393711541,84.903392,21.225848,5.4,5.1000000000000005,4.7,0.3559026084010435,2020,2,7,47,4.0,0.571,True,5.4,hourly_sparse_2020,0.5,True
ANDINH,2020-02-23,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,27.14577785068089,27.433211898803734,26.763615544637048,0.344702627658813,20.67980579800077,1.4050108773628107,1.0930806396913797,0.3643602132304598,1.0898739098479382,2,51.84128135442734,17.280427118142445,0.5822628736495972,0.2045631408691406,-3.036497818099128,0.0359488460752699,3.043634042395619,3.6221228459801553,0.5027181447596623,1014.5630506727432,1014.0410872395832,0.8738967043704753,0.1318859524197048,0.1286207834879557,0.0039600273492348,66.45464,22.151546666666665,5.3,5.066666666666666,4.7,0.3214550253664318,2020,2,8,54,3.0,0.429,False,5.28,hourly_sparse_2020,0.5,True
ANDINH,2020-03-01,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,27.189047431945824,27.511204655965173,26.96017227172854,0.2323329316408814,20.10289106369021,1.41880991747529,0.023091873913472,0.005772968478368,0.0188124703299763,4,74.5660662651062,18.64151656627655,0.680074095726013,0.1773983240127563,-3.064773311217626,0.776992638905843,3.169537537112374,3.3560235462985903,0.1476625808725327,1011.5480859375,1010.790048828125,0.8369178058620357,0.1227663358052571,0.1215991973876953,0.0012484253020805,95.181454,23.7953635,7.0,"6,325",5.7,0.5377421934967225,2020,3,9,61,4.0,0.571,True,6.82,hourly_sparse_2020,0.5,True
ANDINH,2020-03-08,An Định,Tiền,106.428417,10.311028,1.0,806.1017305526642,201.24611797498108,27.758674081166603,28.684665298461937,27.264216359456384,0.6311835904238303,22.20093132654827,0.9083047942436168,0.6901755892272375,0.1725438973068093,0.5173742770807621,4,65.18740952014923,16.296852380037308,0.5979090929031371,0.1549422740936279,-2.016771694024404,1.0590200523535411,2.4860127497846354,3.941900490900601,1.4365044859401208,1011.2072200520834,1009.6977978515624,1.0992614813999886,0.1229160626729329,0.121716817220052,0.0013372344727452,91.12925950244141,22.782314875610354,7.5,"7,175",6.8,0.3774917217635374,2020,3,10,68,4.0,0.571,True,7.5,hourly_sparse_2020,0.5,True
