model,data_sources,n,rmse,mae,bias,r2
Persistence,Recent salinity,2650,3.17361526434958,2.1444528343874785,-0.03611319586809757,0.7589865997634766
LSTM-S,Salinity history,2650,2.6197352505533162,1.8126035441627024,0.1826421664985437,0.8357719088729851
MS-only,ERA5-Land + Sentinel-2 + context,2650,3.595068432951942,2.8140013855377357,0.9747844778449056,0.6907234692968272
MS-LSTM ensemble,Salinity + ERA5-Land + Sentinel-2,2650,2.7690073884010773,1.9777728112252058,-0.14155388397756952,0.8165233228391466
