seed,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2
7,2.5548176765441895,1.825638771057129,0.8302295207977295,2.849323272705078,2.052736759185791,0.8057253360748291
42,2.51900315284729,1.7674119472503662,0.8349559307098389,2.9139583110809326,2.0450658798217773,0.7968114018440247
123,2.519609212875366,1.8222174644470215,0.834876537322998,2.8017046451568604,2.016188383102417,0.8121646642684937
