station_id,n,rmse,mae,bias,r2
TUYEN_NHON,150,0.18076668330310744,0.11910088192919611,0.06625805514341834,-8.231835654137218
XUAN_KHANH,150,0.2124398785983555,0.12891419125408887,0.05553341872368889,-3.927171379227719
TAN_AN,150,0.2534128508181092,0.16903405270702224,0.07334274727964445,0.5171170200649504
BEN_LUC,150,0.37678335157219783,0.26332441071511115,0.09009657053377779,0.7179579211652235
MY_HOA,150,0.5666458011812289,0.40970521411777777,0.054892385091111134,0.9007587244053963
CAU_NOI,150,0.5962085157972171,0.43355155133333323,0.005107603333333308,0.9073778056403043
GO_QUAO,150,0.704681569355977,0.4924423002222223,0.061555960462222226,0.9336354838401603
VAM_KENH,148,0.7649646553726429,0.593925581081081,-0.03799957882882902,0.895694682952766
TRA_VINH,150,0.7955537139733896,0.5838932091266668,-0.0593378131711111,0.8725618951224566
DAI_NGAI,150,0.8448814702978046,0.6054456701777777,-0.024332669519999992,0.8721134993743532
CAU_QUAN,150,1.02832148628329,0.7399069361866666,0.028909617582222283,0.8734667108305775
HUNG_MY,150,1.0662215464998643,0.7986072742222221,0.033937791999999946,0.8364030524368199
TRA_KHA,150,1.2474461080675632,0.9260083122222224,-0.00014797711111103951,0.8525468978247168
HOA_BINH,150,1.4098428161197682,1.0197796653333333,-0.06329722044444443,0.6536181375710961
TRAN_DE,150,1.4588511087501916,1.0806567404444445,-0.1999077137777778,0.820545843366188
BINH_DAI,59,1.6513283279292403,1.2156987627118647,0.08506980225988674,0.5439491717878879
SON_DOC,59,1.7979965321855222,1.2976029807909608,-0.03935552994350281,0.6772946961380677
LOC_THUAN,59,1.8920654889164055,1.3433988231638416,-0.07155026497175136,0.437533398808878
HUONG_MY,59,2.126682681279966,1.3561400240112993,-0.15992135666666676,0.19639337050557415
AN_THUAN,59,2.12705896973519,1.5163775112994349,-0.031723567796610105,0.6223939628745738
XEO_RO,150,2.401530324697365,1.6137502943035553,0.054298552718666786,0.8514789679674858
BEN_TRAI,59,3.7924626278054565,2.7218237847457627,-0.3534663440677964,0.13640388511971457
