trial,use_era5,use_s2,use_salinity_history,prediction_mode,lookback,hidden_size,seed,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2
h07_full_h128,True,True,True,residual,30,128,42,2.51900315284729,1.7674119472503662,0.8349559307098389,2.9139583110809326,2.0450658798217773,0.7968114018440247
h07_full_h128_s123,True,True,True,residual,30,128,123,2.519609212875366,1.8222174644470215,0.834876537322998,2.8017046451568604,2.016188383102417,0.8121646642684937
h07_full_h128_s07,True,True,True,residual,30,128,7,2.5548176765441895,1.825638771057129,0.8302295207977295,2.849323272705078,2.052736759185791,0.8057253360748291
h07_salinity_only,False,False,True,residual,30,128,42,2.586509943008423,1.8199166059494019,0.8259913921356201,2.6197352409362793,1.8126035928726196,0.835771918296814
h07_ms_only,True,True,False,direct,30,128,7,3.461585521697998,2.586146831512451,0.6867504119873047,3.556300163269043,2.772110939025879,0.694129467010498
