feature,importance,split
month_sin,0.0023405978,fold_5
month_cos,0.0,fold_5
temperature_2m_c_mean,0.019081451,fold_5
precipitation_mm_sum,0.012634955,fold_5
rainy_day_sum,0.2481728,fold_5
potential_evaporation_mm_sum,0.014360935,fold_5
runoff_mm_sum,0.022937799,fold_5
runoff_mm_max,0.01574478,fold_5
wind_speed_10m_ms_mean,0.049665943,fold_5
wind_speed_10m_ms_max,0.06417702,fold_5
surface_pressure_hpa_min,0.004801879,fold_5
soil_moisture_layer1_vol_mean,0.00970489,fold_5
solar_radiation_mj_m2_sum,0.049731854,fold_5
MNDWI_median_week,0.044565327,fold_5
NDWI_median_week,0.013795467,fold_5
NDVI_median_week,0.012409841,fold_5
B11_median_week,0.012938348,fold_5
B12_median_week,0.0130178,fold_5
Red_SWIR1_median_week,0.020622134,fold_5
Red_SWIR2_median_week,0.012833518,fold_5
BGRratio_median_week,0.03561085,fold_5
NDCI_median_week,0.011833328,fold_5
s2_available,0.0,fold_5
