epoch,train_loss,val_rmse,val_mae,val_r2
1,0.17200482934713363,3.2873759269714355,2.661065101623535,0.7174865973622753
2,0.07554358382310186,2.7596704959869385,2.1280300617218018,0.8009075474450399
3,0.06003512984939984,2.8294856548309326,2.102006435394287,0.7907066928271045
4,0.053406265165124624,2.7111873626708984,2.0141360759735107,0.8078416069544444
5,0.04810597492115838,3.001473903656006,2.296567916870117,0.7644899267343344
6,0.04345239012369088,2.861327886581421,2.195391893386841,0.785969551965268
7,0.04146876063730035,3.177166700363159,2.3911120891571045,0.7361115695621074
8,0.03809123962585415,2.8936562538146973,2.157379627227783,0.781105827092967
9,0.03320697503430503,2.9970200061798096,2.2246248722076416,0.7651883612592477
10,0.032630919399006024,2.975341796875,2.2503135204315186,0.7685729857894278
11,0.03065692194338356,3.0016791820526123,2.1965959072113037,0.7644577299463291
12,0.029540614038705826,3.014418363571167,2.2171919345855713,0.7624542046106264
