station_id,lat,lon,target_ym,target_year,target_month,s2_prev_start,s2_prev_end_exclusive,s2_valid_image_count,buffer_m,cloud_prob_threshold,B2_mean,B2_stdDev,B2_count,B3_mean,B3_stdDev,B3_count,B4_mean,B4_stdDev,B4_count,B8_mean,B8_stdDev,B8_count,B11_mean,B11_stdDev,B11_count,B12_mean,B12_stdDev,B12_count,NDVI_mean,NDVI_stdDev,NDVI_count,NDWI_mean,NDWI_stdDev,NDWI_count,MNDWI_mean,MNDWI_stdDev,MNDWI_count,EVI_mean,EVI_stdDev,EVI_count,SAVI_mean,SAVI_stdDev,SAVI_count,RVI_mean,RVI_stdDev,RVI_count,BI_mean,BI_stdDev,BI_count,BGRratio_mean,BGRratio_stdDev,BGRratio_count,SI_1_mean,SI_1_stdDev,SI_1_count,SI_2_mean,SI_2_stdDev,SI_2_count,SI_3_mean,SI_3_stdDev,SI_3_count,R_1_mean,R_1_stdDev,R_1_count,R_2_mean,R_2_stdDev,R_2_count,R_3_mean,R_3_stdDev,R_3_count,R_4_mean,R_4_stdDev,R_4_count,Red_SWIR1_ratio_mean,Red_SWIR1_ratio_stdDev,Red_SWIR1_ratio_count,SWIR1_mean,SWIR1_stdDev,SWIR1_count,SWIR2_mean,SWIR2_stdDev,SWIR2_count
AN_THUAN,9.97638888888889,106.60502222222222,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.05270854101024777,0.001277015864218094,98,0.08776081975356584,7.839001648360729E-4,98,0.07893875864950131,9.294433871098011E-4,98,0.017804263206740216,6.704586740666713E-4,98,0.007683302687402749,2.833667136912026E-4,98,0.007288152194688079,6.029490439397743E-4,98,-0.6339012502018788,0.011659832300027114,98,0.663886570360674,0.010459921935899619,98,0.8403818468817487,0.005291522257459974,98,-0.1355428999496633,0.002244802462162191,98,-0.14526496478888537,0.0026634664649487837,98,0.22427031166816716,0.008692900426998582,98,0.08994969455099533,9.270936147410381E-4,98,1.906797117259622,0.02600877350849291,98,0.08310510366765417,7.291457288105716E-4,98,0.11868184988644657,0.0010106900583852388,98,0.12003682448995713,0.0010252175449180132,98,0.724889172369735,0.020082259158038077,98,3.5177566552747357,0.16282011278200664,98,1.1401352797921154,0.016329266369735616,98,5.146321909879932,0.21643461648112924,98,10.335599751402818,0.4605152205191802,98,0.007683302687402749,2.833667136912026E-4,98,0.007288152194688079,6.029490439397743E-4,98
BEN_LUC,10.638366,106.47543,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.07076552512147165,0.027622082194902257,96,0.08072199673098482,0.020792267088073645,96,0.07349217086317437,0.017158537777266804,96,0.09921050076238067,0.046157931702357394,96,0.08220316119711575,0.04445907442905982,96,0.06589779942754952,0.037145421891596926,96,0.09715711096889411,0.24807105669059193,96,-0.05828214573126391,0.26128640403756387,96,0.03599609994036115,0.30871835716692586,96,0.050869436875324095,0.10910110078494596,96,0.05125149283463441,0.10585303180703821,96,1.4676577361336705,0.9298844702719903,96,0.13218001408610222,0.038070860528056555,96,2.0109710790143747,0.28576255333660217,96,0.07691262497892581,0.018623533362320522,96,0.10923971692113674,0.02651133388157418,96,0.1526162713708269,0.036494666385668215,96,0.9206266828911396,0.20962548258742097,96,0.8613153226735516,0.44170416180223604,96,1.090177386328184,0.09319225805857105,96,0.9997595754551722,0.45405645404515677,96,1.1916600354580575,0.7238592560848903,96,0.08220316119711575,0.04445907442905982,96,0.06589779942754952,0.037145421891596926,96
BEN_TRAI,9.880838888888889,106.5289,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.0665902314213609,0.0012967167757103456,96,0.09083970245349647,0.0017575875657815632,96,0.08470338865748862,0.001500618061978683,96,0.02846613823010752,0.0025323955309562115,96,0.012738169711403393,0.002065733789473255,96,0.009529551254076545,0.0015950934162233027,96,-0.44537675745128497,0.02673366424796352,96,0.5383321441755157,0.023943100326065364,96,0.7494948930393495,0.03001002546759962,96,-0.12045380339405386,0.005369900748185704,96,-0.11592873908987547,0.007066008870920549,96,0.3842162190179729,0.025836877017651406,96,0.09827447030723697,0.0019142699885755367,96,2.305388401152421,0.08036355029123182,96,0.08574451874093997,0.002172646986469966,96,0.12283335350865271,0.0027985495817145233,96,0.12535998268056897,0.0034445414121672645,96,1.034878494354409,0.028003031291542555,96,2.519107678118276,0.1736606894720757,96,1.245707559820128,0.06254229968403979,96,3.3431519356539674,0.22176913404004783,96,6.83044785729675,1.050526100067486,96,0.012738169711403393,0.002065733789473255,96,0.009529551254076545,0.0015950934162233027,96
BINH_DAI,10.20401944,106.70562222,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.08487519958724779,0.035004588616197596,99,0.1093041307874695,0.031650461883104365,99,0.12045642630386424,0.02774141596937979,99,0.11588927036223873,0.059781280541686285,99,0.10214062558519879,0.058857978793601065,99,0.0912215855700276,0.05415410803235512,99,-0.06724042774075917,0.23867734419386816,99,0.019192885988348934,0.2330516682848344,99,0.0665331717339231,0.25948794575019685,99,-0.00812241669176551,0.09544007814791683,99,-0.013641072005288865,0.09637668060453475,99,0.9738343099072545,0.5011150005102541,99,0.162771388271087,0.05925900918854939,99,1.5933344595838814,0.2365464595016966,99,0.11448553392941911,0.02949797791415114,99,0.16299604253040104,0.04132846465942439,99,0.20422925942879083,0.06098807682655026,99,0.6917096459738343,0.149613939748911,99,0.876348840525352,0.5996793568696284,99,0.9065983790858977,0.09608983601616061,99,1.1915502543794394,0.8983872062183408,99,1.4277418858406115,1.1465558776089393,99,0.10214062558519879,0.058857978793601065,99,0.0912215855700276,0.05415410803235512,99
CAU_NOI,10.477280555555556,106.58334444444444,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.05603354162099788,0.006345062479163781,99,0.07602656377382372,0.0050786880254487295,99,0.07773125535778459,0.007355554403102909,99,0.034330292988254255,0.008544839122524843,99,0.0136816079734776,0.0011877727457678,99,0.009447997513067706,0.00134248922501328,99,-0.43503329018653175,0.05068413151878984,99,0.44843328800154064,0.0670933268841457,99,0.7066762333442793,0.02070928070398224,99,-0.0903343150312577,0.006382254467623638,99,-0.09249599097028424,0.007747873830341473,99,0.41351684821450674,0.054353148749430306,99,0.0851901255014035,0.008498619427437492,99,1.744228498864706,0.05909581301484475,99,0.07678691210612672,0.0060975053945733024,99,0.1089967136217618,0.008686783487679262,99,0.1153952337477448,0.011093521375195784,99,0.7358422988667973,0.04283308837047283,99,2.428845829460816,0.361598743101758,99,1.0309048882992031,0.0370981198767389,99,3.3522335798746306,0.529720542762449,99,5.141114516696029,0.49900600576108955,99,0.0136816079734776,0.0011877727457678,99,0.009447997513067706,0.00134248922501328,99
CAU_QUAN,9.75845,106.11414166666664,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.10470282974377612,0.02389486158384677,97,0.1267180942368492,0.02107634654144038,97,0.10513197887605334,0.02583080035739361,97,0.07556243121442019,0.030900016440195622,97,0.060285521972794055,0.026233341351063685,97,0.0485466107015127,0.022585193356934843,97,-0.20266622231208578,0.15146737371341784,97,0.3030844811686382,0.17243714820460704,97,0.3697714179691552,0.2174026476906847,97,-0.0805495399427559,0.05661748444431315,97,-0.06443704083484855,0.04496565990612922,97,0.6952723764654557,0.22798469176067201,97,0.14991490068439772,0.03014866800034317,97,2.292325197355319,0.20744576391109734,97,0.11510202201933098,0.02336718870422769,97,0.1650870204662158,0.03210497921366919,97,0.18331585144728316,0.039186186778587574,97,1.0164287484083363,0.07893164984705349,97,1.6749587618955146,0.5875989266407552,97,1.275832563351397,0.14406173057132426,97,2.1463341565108562,0.8370029610499619,97,2.0663354951187025,0.9336319236731204,97,0.060285521972794055,0.026233341351063685,97,0.0485466107015127,0.022585193356934843,97
DAI_NGAI,9.734863888888889,106.0744722222222,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.0928763228644776,0.004470753848385583,95,0.10932212949610458,0.003545878975780367,95,0.08652724790386536,0.00722837357304827,95,0.07768379300476777,0.016690743190748484,95,0.03730430252817054,0.008833662854095144,95,0.02793708256042251,0.0047779053925139005,95,-0.20215954163177988,0.10480339118828072,95,0.22667080733771414,0.0946688940178747,95,0.5351473636083864,0.0984159417772035,95,-0.09380670978807476,0.052132052652887076,95,-0.08386847960037312,0.04657231432297477,95,0.6755111136574345,0.2569440886586631,95,0.12375140245262442,0.015363358154817158,95,2.182316363620194,0.07362498702421191,95,0.09575391589677983,0.005473326723165244,95,0.1379536876184327,0.007179851184112426,95,0.15087966501985728,0.015960837113589855,95,0.972397849848478,0.04097589141490282,95,1.320830773142628,0.1901746502781062,95,1.1050835640381924,0.028302766113361275,95,1.6036285835264554,0.22423602141197468,95,2.609114994240017,0.39601125410284344,95,0.03730430252817054,0.008833662854095144,95,0.02793708256042251,0.0047779053925139005,95
GO_QUAO,9.723144444444443,105.27886111111113,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.06740217963242406,0.011644235566934984,93,0.08732020378346333,0.012540909847044741,93,0.08781949060036363,0.014660748060190935,93,0.09790529564032421,0.0759082582450082,93,0.08160326957108599,0.06294473076231362,93,0.06423021134871144,0.05038631990286834,93,-0.015947618851268882,0.3020784093290542,93,0.01963484674615058,0.2725188017440719,93,0.1406883900641325,0.3312200435201627,93,0.027210850080367548,0.16218943473661357,93,0.01929024630221215,0.14627928134277782,93,1.2151000830506982,1.0354715226931381,93,0.13663354306390185,0.06483768865160303,93,1.8379667116550666,0.16217060177001916,93,0.08757140300681772,0.013140398102708466,93,0.12408126664299383,0.01849116530659783,93,0.16535674260893274,0.05775155989385596,93,0.8162227600822317,0.0898088474780673,93,0.939414031926648,0.41330631581005417,93,1.0223621406476933,0.09423888386313346,93,1.174818492139804,0.5255477146840378,93,1.6504133652613167,1.0162058016979718,93,0.08160326957108599,0.06294473076231362,93,0.06423021134871144,0.05038631990286834,93
HOA_BINH,10.290253,106.592389,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.10864488429385213,0.05454593558596714,98,0.1311596606585698,0.049417478689833295,98,0.14607107572631914,0.03588225275901807,98,0.13533138110073062,0.06859814753531569,98,0.10990868259965436,0.09910115475991695,98,0.10143530283937574,0.09643311787209226,98,-0.10098561473206866,0.18428639776248742,98,0.0589768514879242,0.17002144809662822,98,0.24576904670022953,0.36586001376213245,98,-0.02859090962651617,0.13818318112890587,98,-0.04329623574403457,0.10135903809529792,98,0.8674307507456246,0.5184627926110381,98,0.18819791357388835,0.08208769515823955,98,1.5931942869730327,0.3120048713110962,98,0.13777599884492758,0.04202487077861313,98,0.1967945305062831,0.05939480547357358,98,0.24040156239812382,0.0845238648457191,98,0.7036359136338208,0.1909883915023853,98,0.9372689249782105,0.2726821180900292,98,0.8903114723110918,0.12361273847412653,98,1.1770536417892223,0.3725811433902852,98,2.856575570343127,2.3277986028405815,98,0.10990868259965436,0.09910115475991695,98,0.10143530283937574,0.09643311787209226,98
HUNG_MY,9.883374,106.44775,2020-01,2020,1,2019-12-01,2020-01-01,36,50,40,0.05882254690388992,0.01917641303089445,98,0.08159099562836947,0.02255415902127239,98,0.07754140017723778,0.026671145626177544,98,0.14439955527444331,0.08922289487597687,98,0.07029049664984158,0.042126058083822415,98,0.04208876762837667,0.027924834356332154,98,0.21003609092003797,0.3936059720676076,98,-0.1578862138967532,0.3922292018899484,98,0.12197626676030393,0.37368213759602686,98,0.1396903911772194,0.2116082905251473,98,0.13121066882740673,0.20065820747847685,98,2.543522786911118,2.4029263021096643,98,0.17806640365226456,0.0688667912576657,98,1.8600416210062654,0.19528198170686928,98,0.07903137749098522,0.024313320634944475,98,0.11252251983751625,0.034114925311518975,98,0.19889826421050008,0.05906138741262007,98,0.7663384052157737,0.06637056682046588,98,0.7019740686340997,0.5524725220247252,98,1.0882395859345977,0.15946894560330968,98,0.9643407906094936,0.745926287706505,98,1.9030725351284972,1.6797921310948931,98,0.07029049664984158,0.042126058083822415,98,0.04208876762837667,0.027924834356332154,98
