epoch,train_loss,val_rmse,val_mae,val_r2
1,0.09100706981761116,1.9552680253982544,1.5229121446609497,0.9000568797037556
2,0.036526239131178175,1.6640888452529907,1.180618405342102,0.9276075368854211
3,0.031425399280020166,1.583975911140442,1.1243159770965576,0.9344100214957043
4,0.02840443125792912,1.6406443119049072,1.1610313653945923,0.929632972850416
5,0.02640773787030152,1.589704990386963,1.1879323720932007,0.9339347033678613
6,0.024768571981361936,1.481461763381958,1.0329234600067139,0.9426251981571223
7,0.024013549674834524,1.5225321054458618,1.0529282093048096,0.9393999100422517
8,0.022435696635927472,1.5035923719406128,1.0567011833190918,0.9408982250641288
9,0.02184085276510034,1.39401376247406,0.943885087966919,0.9491987396406931
10,0.02252678094165666,1.544007420539856,1.1812081336975098,0.937678324016879
11,0.021944781924997058,1.55347740650177,1.1622673273086548,0.9369114954747086
12,0.01986679264477321,1.2938951253890991,0.8631956577301025,0.9562338392802824
13,0.020571968757680484,1.5606428384780884,1.186141848564148,0.936328160601753
14,0.020323426888457365,1.2597250938415527,0.8163864016532898,0.9585149218004567
15,0.01991354056767055,1.3542349338531494,0.9551066160202026,0.9520566539010719
16,0.01968385319092444,1.434740424156189,0.9983041286468506,0.9461870258076002
17,0.01904927601239511,1.3626679182052612,0.9345293045043945,0.9514576941162901
18,0.018805241717823915,1.4038649797439575,0.9820705652236938,0.9484782012284563
19,0.01822261679917574,1.4159773588180542,1.0717620849609375,0.9475853153039566
20,0.018147169133382185,1.3767508268356323,0.9570609331130981,0.9504491625858945
21,0.017451636120676996,1.3277770280838013,0.9213999509811401,0.9539117087542719
22,0.01692823703799929,1.3071093559265137,0.8801387548446655,0.9553353247156228
