model,n,rmse,mae,bias,r2
LSTM ensemble,2680,1.2396207411553253,0.7951800355298172,-0.02247097521383457,0.9614557079542141
Persistence t-1,2680,1.2037067438668283,0.6750224331156716,-0.005708980332089547,0.9636567474254908
