epoch,train_loss,val_rmse,val_mae,val_r2
1,0.10901098496147564,2.0637333393096924,1.4899306297302246,0.8886609657351192
2,0.03860581676874842,2.0102720260620117,1.4688820838928223,0.8943547435145117
3,0.0319368733891419,2.1794447898864746,1.6011967658996582,0.8758256079723731
4,0.026296586809413772,2.255840301513672,1.687643051147461,0.8669677227393506
5,0.02540156032357897,2.025334596633911,1.4688668251037598,0.8927656407010072
6,0.02353393914444106,2.2030959129333496,1.6494929790496826,0.8731159274534088
7,0.020515846966632775,2.192408561706543,1.6283555030822754,0.8743439856129445
8,0.019033541237669333,2.136394739151001,1.5862579345703125,0.8806827234200054
9,0.017680851024176394,2.116748809814453,1.5853742361068726,0.8828670802955425
10,0.016988031193614007,2.246213912963867,1.6878677606582642,0.8681006979475147
