split,n,R2_log,RMSE_gL,MAE_gL
train,571,0.9281175304593459,2.4948472610657118,1.3407542508779047
val,294,0.5639275415366701,2.3974303903249736,1.8601609767023641
test,252,0.7614130448996554,2.114765399622223,1.6210404776131113
