model,RMSE (g/L),MAE (g/L),R2
Station-week climatology,3.2654374271515616,2.5376913265306125,0.5032942129905206
"Ridge regression (cùng FEATURES, không lag)",3.2766415642233993,2.501859556486656,0.4998798421830154
XGBoost (Model 1 hiện tại),2.114765399622223,1.6210404776131113,0.791675244928522
