nhóm,n,RMSE (g/L),MAE (g/L),R2
Test - trạm ĐÃ thấy trong train (control),168,2.382612070534984,1.8222004758814971,0.7745849093436992
Test - trạm CHƯA từng thấy (hold-out),84,5.342282632177418,4.3440061708899576,-1.1818739806252934
