station_id,target_date,input_start,input_end,baseline,y_true,split
AN_THUAN,2020-02-02,2020-01-03,2020-02-01,,25.600000381469727,train
AN_THUAN,2020-02-03,2020-01-04,2020-02-02,,25.799999237060547,train
AN_THUAN,2020-02-07,2020-01-08,2020-02-06,,24.0,train
AN_THUAN,2020-02-08,2020-01-09,2020-02-07,,25.700000762939453,train
AN_THUAN,2020-02-10,2020-01-11,2020-02-09,,27.799999237060547,train
AN_THUAN,2020-02-11,2020-01-12,2020-02-10,,28.799999237060547,train
AN_THUAN,2020-02-12,2020-01-13,2020-02-11,,29.299999237060547,train
AN_THUAN,2020-02-16,2020-01-17,2020-02-15,,28.799999237060547,train
AN_THUAN,2020-02-17,2020-01-18,2020-02-16,,29.299999237060547,train
AN_THUAN,2020-02-20,2020-01-21,2020-02-19,,27.700000762939453,train
AN_THUAN,2020-02-21,2020-01-22,2020-02-20,,28.899999618530273,train
AN_THUAN,2020-02-24,2020-01-25,2020-02-23,,28.700000762939453,train
AN_THUAN,2020-02-25,2020-01-26,2020-02-24,,28.899999618530273,train
AN_THUAN,2020-02-28,2020-01-29,2020-02-27,,28.5,train
AN_THUAN,2020-02-29,2020-01-30,2020-02-28,,29.5,train
AN_THUAN,2020-03-03,2020-02-02,2020-03-02,,27.799999237060547,train
AN_THUAN,2020-03-04,2020-02-03,2020-03-03,,28.100000381469727,train
AN_THUAN,2020-03-07,2020-02-06,2020-03-06,,28.899999618530273,train
AN_THUAN,2020-03-08,2020-02-07,2020-03-07,,27.700000762939453,train
AN_THUAN,2020-03-09,2020-02-08,2020-03-08,,27.799999237060547,train
AN_THUAN,2020-03-11,2020-02-10,2020-03-10,,27.5,train
AN_THUAN,2020-03-12,2020-02-11,2020-03-11,,28.600000381469727,train
AN_THUAN,2020-03-17,2020-02-16,2020-03-16,,27.399999618530273,train
AN_THUAN,2020-03-18,2020-02-17,2020-03-17,,27.299999237060547,train
AN_THUAN,2020-03-19,2020-02-18,2020-03-18,,27.700000762939453,train
AN_THUAN,2020-03-23,2020-02-22,2020-03-22,,26.799999237060547,train
AN_THUAN,2020-03-24,2020-02-23,2020-03-23,,27.200000762939453,train
AN_THUAN,2020-03-25,2020-02-24,2020-03-24,,28.299999237060547,train
AN_THUAN,2020-03-29,2020-02-28,2020-03-28,,26.899999618530273,train
AN_THUAN,2020-03-30,2020-02-29,2020-03-29,,27.399999618530273,train
AN_THUAN,2020-04-02,2020-03-03,2020-04-01,,26.600000381469727,train
AN_THUAN,2020-04-03,2020-03-04,2020-04-02,,27.200000762939453,train
AN_THUAN,2020-04-04,2020-03-05,2020-04-03,,27.299999237060547,train
AN_THUAN,2020-04-08,2020-03-09,2020-04-07,,27.399999618530273,train
AN_THUAN,2020-04-09,2020-03-10,2020-04-08,,27.700000762939453,train
AN_THUAN,2020-04-10,2020-03-11,2020-04-09,,27.899999618530273,train
AN_THUAN,2020-04-15,2020-03-16,2020-04-14,,26.799999237060547,train
AN_THUAN,2020-04-16,2020-03-17,2020-04-15,,26.700000762939453,train
AN_THUAN,2020-04-17,2020-03-18,2020-04-16,,26.899999618530273,train
AN_THUAN,2020-04-21,2020-03-22,2020-04-20,,25.200000762939453,train
AN_THUAN,2020-04-22,2020-03-23,2020-04-21,,25.0,train
AN_THUAN,2020-04-23,2020-03-24,2020-04-22,,26.0,train
AN_THUAN,2020-04-26,2020-03-27,2020-04-25,,26.399999618530273,train
AN_THUAN,2020-04-27,2020-03-28,2020-04-26,,27.0,train
AN_THUAN,2020-04-28,2020-03-29,2020-04-27,,27.5,train
AN_THUAN,2020-05-01,2020-04-01,2020-04-30,,26.0,train
AN_THUAN,2020-05-02,2020-04-02,2020-05-01,,26.799999237060547,train
