feature,importance,split
lon_first,0.054125432,temporal
lat_first,0.06652834,temporal
DEM_first,0.042283416,temporal
Distance_to_River_first,0.03983409,temporal
Distance_to_Coast_first,0.14480416,temporal
doy_sin,0.019294497,temporal
doy_cos,0.013591935,temporal
week_sin,0.011086009,temporal
week_cos,0.015524852,temporal
temperature_2m_c_mean,0.018572858,temporal
precipitation_mm_sum,0.008820883,temporal
rainy_day_sum,0.18268612,temporal
potential_evaporation_mm_sum,0.014852672,temporal
runoff_mm_sum,0.040121287,temporal
runoff_mm_max,0.027094405,temporal
wind_speed_10m_ms_mean,0.08966946,temporal
wind_speed_10m_ms_max,0.049078155,temporal
surface_pressure_hpa_min,0.012519544,temporal
soil_moisture_layer1_vol_mean,0.03484188,temporal
solar_radiation_mj_m2_sum,0.035116415,temporal
MNDWI_median_week,0.009285675,temporal
NDWI_median_week,0.008825242,temporal
NDVI_median_week,0.0116414055,temporal
B11_median_week,0.006782131,temporal
B12_median_week,0.007653356,temporal
Red_SWIR1_median_week,0.009279592,temporal
Red_SWIR2_median_week,0.010926782,temporal
BGRratio_median_week,0.0066671027,temporal
NDCI_median_week,0.008492216,temporal
s2_available,0.0,temporal
