feature,importance
rainy_day_sum,0.18268612
Distance_to_Coast_first,0.14480416
wind_speed_10m_ms_mean,0.08966946
lat_first,0.06652834
lon_first,0.054125432
wind_speed_10m_ms_max,0.049078155
DEM_first,0.042283416
runoff_mm_sum,0.040121287
Distance_to_River_first,0.03983409
solar_radiation_mj_m2_sum,0.035116415
soil_moisture_layer1_vol_mean,0.03484188
runoff_mm_max,0.027094405
doy_sin,0.019294497
temperature_2m_c_mean,0.018572858
week_cos,0.015524852
potential_evaporation_mm_sum,0.014852672
doy_cos,0.013591935
surface_pressure_hpa_min,0.012519544
NDVI_median_week,0.0116414055
week_sin,0.011086009
Red_SWIR2_median_week,0.010926782
MNDWI_median_week,0.009285675
Red_SWIR1_median_week,0.009279592
NDWI_median_week,0.008825242
precipitation_mm_sum,0.008820883
NDCI_median_week,0.008492216
B12_median_week,0.007653356
B11_median_week,0.006782131
BGRratio_median_week,0.0066671027
s2_available,0.0
