epoch,train_loss,val_rmse,val_mae,val_r2
1,0.09431176792298045,1.9726049900054932,1.5133534669876099,0.8982766640231545
2,0.03649716898798942,1.7435089349746704,1.204312801361084,0.920532664743002
3,0.03145477282149451,1.7598059177398682,1.342706561088562,0.9190401136419066
4,0.02790245698498828,1.6574033498764038,1.275829792022705,0.9281880501911206
5,0.026195656774299487,1.472432255744934,1.035004734992981,0.9433224634709467
6,0.025944993724780423,1.4128628969192505,0.9280643463134766,0.9478156353941416
7,0.022911628442151204,1.5800042152404785,1.1794997453689575,0.9347385311601133
8,0.02195168693682977,1.3563469648361206,0.9376287460327148,0.951906994881677
9,0.020859157160988875,1.4961589574813843,1.069725513458252,0.941481149263768
10,0.02122329090322767,1.4706394672393799,1.0212105512619019,0.9434604013907466
11,0.02089777080608266,1.568540334701538,1.1757116317749023,0.9356821231605604
12,0.020631169155240058,1.4037163257598877,0.9929528832435608,0.94848911064432
13,0.019173423945903777,1.345178484916687,0.9108470678329468,0.952695748547492
14,0.01962997413107327,1.3783832788467407,0.9365084767341614,0.950331584399686
15,0.018395446054637433,1.3859055042266846,0.9435197114944458,0.9497879978723064
16,0.01863447305347238,1.3439699411392212,0.8956174254417419,0.952780714440928
17,0.018388566614261696,1.3739360570907593,0.9517022967338562,0.9506515665534664
18,0.018379889827753817,1.3662641048431396,0.8899189233779907,0.9512011392483639
19,0.017850222757884435,1.372707724571228,0.9169293642044067,0.9507397646874751
20,0.017940714050616535,1.3388882875442505,0.9087784290313721,0.9531371160706963
21,0.017921051462846144,1.284930944442749,0.8433448672294617,0.9568381668068818
22,0.01751326484871762,1.4408975839614868,1.0272548198699951,0.94572415832842
23,0.017391288466751576,1.3020715713500977,0.8237664103507996,0.9556789471580749
24,0.01769778345312391,1.3529589176177979,0.9204709529876709,0.9521469537161703
25,0.017515535413154534,1.3962541818618774,0.9767853617668152,0.9490353206494737
26,0.016401798903409925,1.3247193098068237,0.8909275531768799,0.9541237369717998
27,0.015972426719963552,1.3371284008026123,0.9174591302871704,0.9532602359309506
28,0.016565751816545213,1.3495434522628784,0.9238316416740417,0.9523882556939807
29,0.016269776251699244,1.4158889055252075,0.9701708555221558,0.9475918667512158
