split,n_train,n_val,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,193,55,63,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",63,0.6047991056182349,6.721735686600831,3.2582584434641073,-2.035380974833808
fold_2,194,55,62,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",62,0.39752619992203686,4.735658232286196,4.042888587474823,-0.29072177002360394
fold_3,194,55,62,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",62,0.05092687756949066,5.118514875669645,4.431607383580068,0.5328350118953515
fold_4,194,55,62,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",62,-0.0177887021642964,5.178373109268347,4.055442235020083,-1.2922427240253045
fold_5,189,60,62,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",62,0.5127886130367174,3.6288888911657176,2.9435470855144494,0.6937019399915422
