model,r2_log,rmse_gl,mae_gl,bias_gl
idw,0.25601330780991816,4.629917391489547,3.465382570908518,-0.5152625350531486
ridge,0.3972720780431155,5.999994886039498,3.5327933596519943,-0.8259711620756823
ridge_residual_idw,0.30136949988112544,5.826610037501224,3.3415073703820006,-0.8332836201498646
