split,alpha,feature,coefficient
fold_1,1.1253355826007645,transformed_0,-0.025011904516346384
fold_1,1.1253355826007645,transformed_1,0.13055055085057443
fold_1,1.1253355826007645,transformed_2,0.08284425817222822
fold_1,1.1253355826007645,transformed_3,-0.12547591030713345
fold_1,1.1253355826007645,transformed_4,-0.3436401220276616
fold_1,1.1253355826007645,transformed_5,-0.050715030052704835
fold_1,1.1253355826007645,transformed_6,-0.034331641640067745
fold_1,1.1253355826007645,transformed_7,0.41863570386374027
fold_1,1.1253355826007645,transformed_8,0.10745599060425493
fold_1,1.1253355826007645,transformed_9,-0.27529402656968927
fold_1,1.1253355826007645,transformed_10,0.09267219007437433
fold_1,1.1253355826007645,transformed_11,0.08177291990356172
fold_1,1.1253355826007645,transformed_12,-0.4730847733921051
fold_1,1.1253355826007645,transformed_13,-0.06847787330278621
fold_1,1.1253355826007645,transformed_14,-0.3002097260888879
fold_1,1.1253355826007645,transformed_15,-0.15398189789030714
fold_1,1.1253355826007645,transformed_16,0.15573983155471605
fold_1,1.1253355826007645,transformed_17,0.11087942389264249
fold_1,1.1253355826007645,transformed_18,0.3676832766038487
fold_1,1.1253355826007645,transformed_19,-0.05941818353963091
fold_1,1.1253355826007645,transformed_20,0.1665455175698276
fold_1,1.1253355826007645,transformed_21,0.12410475133584281
fold_1,1.1253355826007645,transformed_22,-0.1700766256081941
fold_1,1.1253355826007645,transformed_23,-0.2157529767063293
fold_1,1.1253355826007645,transformed_24,-0.2231038958207181
fold_1,1.1253355826007645,transformed_25,-0.040590087923978224
fold_1,1.1253355826007645,transformed_26,-0.09779944568389887
fold_1,1.1253355826007645,transformed_27,0.18744424459915088
fold_1,1.1253355826007645,transformed_28,-0.09196836947231701
fold_1,1.1253355826007645,transformed_29,0.049627932515115325
fold_1,1.1253355826007645,transformed_30,-0.08455850138263829
fold_1,1.1253355826007645,transformed_31,0.009231037299928246
fold_1,1.1253355826007645,transformed_32,-0.009231037299919365
fold_1,1.1253355826007645,transformed_33,-0.009231037300049039
fold_1,1.1253355826007645,transformed_34,-0.009231037300139633
fold_1,1.1253355826007645,transformed_35,-0.009231037299841205
fold_1,1.1253355826007645,transformed_36,-0.009231037299567646
fold_1,1.1253355826007645,transformed_37,-0.009231037299949563
fold_1,1.1253355826007645,transformed_38,-0.009231037299642253
fold_1,1.1253355826007645,transformed_39,-0.009231037299691991
fold_1,1.1253355826007645,transformed_40,-0.009231037299679556
fold_2,46.41588833612782,transformed_0,0.02241096190558356
fold_2,46.41588833612782,transformed_1,-0.09783130485817793
fold_2,46.41588833612782,transformed_2,-0.026940836550017153
fold_2,46.41588833612782,transformed_3,-0.11382032123112863
fold_2,46.41588833612782,transformed_4,-0.1953728179858551
fold_2,46.41588833612782,transformed_5,0.03288572184620599
fold_2,46.41588833612782,transformed_6,-0.014662323687319151
fold_2,46.41588833612782,transformed_7,0.06069051739681469
fold_2,46.41588833612782,transformed_8,-0.02341260232458664
fold_2,46.41588833612782,transformed_9,0.008783123511882152
fold_2,46.41588833612782,transformed_10,-0.023643934180832937
fold_2,46.41588833612782,transformed_11,0.06719832649077319
fold_2,46.41588833612782,transformed_12,-0.13729745343798827
fold_2,46.41588833612782,transformed_13,-0.10046307153705969
fold_2,46.41588833612782,transformed_14,-0.09611864047944108
fold_2,46.41588833612782,transformed_15,-0.09610760923324946
fold_2,46.41588833612782,transformed_16,0.014876579154246117
fold_2,46.41588833612782,transformed_17,0.10051193589098661
fold_2,46.41588833612782,transformed_18,0.1185197912178142
fold_2,46.41588833612782,transformed_19,0.03305292459508746
fold_2,46.41588833612782,transformed_20,-0.06586739496876864
fold_2,46.41588833612782,transformed_21,-0.0694151113276753
fold_2,46.41588833612782,transformed_22,0.03090097770443001
fold_2,46.41588833612782,transformed_23,-0.020221308916257563
fold_2,46.41588833612782,transformed_24,-0.024100836450280938
fold_2,46.41588833612782,transformed_25,-0.017897012302852178
fold_2,46.41588833612782,transformed_26,-0.022549775497975377
fold_2,46.41588833612782,transformed_27,0.06541694914695156
fold_2,46.41588833612782,transformed_28,0.022244076554670367
fold_2,46.41588833612782,transformed_29,0.026654999485425046
fold_2,46.41588833612782,transformed_30,-0.05905022076314198
fold_2,46.41588833612782,transformed_31,0.005266637536897711
fold_2,46.41588833612782,transformed_32,-0.005266637536901819
fold_2,46.41588833612782,transformed_33,-0.005266637536902985
fold_2,46.41588833612782,transformed_34,-0.005266637536896601
fold_2,46.41588833612782,transformed_35,-0.005266637536901708
fold_2,46.41588833612782,transformed_36,-0.005266637536899932
fold_2,46.41588833612782,transformed_37,-0.005266637536896157
fold_2,46.41588833612782,transformed_38,-0.005266637536896934
fold_2,46.41588833612782,transformed_39,-0.005266637536901486
fold_2,46.41588833612782,transformed_40,-0.00526663753689649
fold_3,30.702906297578497,transformed_0,-0.0008844572651296456
fold_3,30.702906297578497,transformed_1,-0.09579920272388287
fold_3,30.702906297578497,transformed_2,-0.05574570775968813
fold_3,30.702906297578497,transformed_3,-0.10586369317844505
fold_3,30.702906297578497,transformed_4,-0.19393567796179273
fold_3,30.702906297578497,transformed_5,0.024729940276283315
fold_3,30.702906297578497,transformed_6,-0.0366415734879883
fold_3,30.702906297578497,transformed_7,0.058745175378713335
fold_3,30.702906297578497,transformed_8,-0.0466988014723681
fold_3,30.702906297578497,transformed_9,-0.03045530935766322
fold_3,30.702906297578497,transformed_10,-0.03825746172418709
fold_3,30.702906297578497,transformed_11,0.065733765180026
fold_3,30.702906297578497,transformed_12,-0.17301893717506078
fold_3,30.702906297578497,transformed_13,-0.05275134364902245
fold_3,30.702906297578497,transformed_14,-0.22169324908947424
fold_3,30.702906297578497,transformed_15,-0.12043191653271623
fold_3,30.702906297578497,transformed_16,0.021540104875697796
fold_3,30.702906297578497,transformed_17,0.13479917294423305
fold_3,30.702906297578497,transformed_18,0.14837680240451645
fold_3,30.702906297578497,transformed_19,0.008524127687468963
fold_3,30.702906297578497,transformed_20,-0.09375346192711476
fold_3,30.702906297578497,transformed_21,-0.04367623915842174
fold_3,30.702906297578497,transformed_22,0.017354349354678472
fold_3,30.702906297578497,transformed_23,-0.03872756195905028
fold_3,30.702906297578497,transformed_24,-0.041464285199138806
fold_3,30.702906297578497,transformed_25,-0.016753079315227792
fold_3,30.702906297578497,transformed_26,-0.010827338433364003
fold_3,30.702906297578497,transformed_27,0.08102352090941844
fold_3,30.702906297578497,transformed_28,0.018709057962021935
fold_3,30.702906297578497,transformed_29,0.03578286310095899
fold_3,30.702906297578497,transformed_30,-0.04574382559000034
fold_3,30.702906297578497,transformed_31,0.0074514450972011925
fold_3,30.702906297578497,transformed_32,-0.007451445097200193
fold_3,30.702906297578497,transformed_33,-0.007451445097201637
fold_3,30.702906297578497,transformed_34,-0.007451445097202969
fold_3,30.702906297578497,transformed_35,-0.007451445097201748
fold_3,30.702906297578497,transformed_36,-0.0074514450972007484
fold_3,30.702906297578497,transformed_37,-0.007451445097200415
fold_3,30.702906297578497,transformed_38,-0.0074514450972008595
fold_3,30.702906297578497,transformed_39,-0.007451445097200637
fold_3,30.702906297578497,transformed_40,-0.0074514450972007484
fold_4,46.41588833612782,transformed_0,-0.011332884139350186
fold_4,46.41588833612782,transformed_1,-0.19624521754403368
fold_4,46.41588833612782,transformed_2,-0.06852607826304433
fold_4,46.41588833612782,transformed_3,-0.01809301658964324
fold_4,46.41588833612782,transformed_4,-0.1130904843753936
fold_4,46.41588833612782,transformed_5,0.02233512327623882
fold_4,46.41588833612782,transformed_6,-0.04878902140631844
fold_4,46.41588833612782,transformed_7,0.03632476437060299
fold_4,46.41588833612782,transformed_8,-0.05567336001965234
fold_4,46.41588833612782,transformed_9,-0.032636014626869436
fold_4,46.41588833612782,transformed_10,-0.04824367782711919
fold_4,46.41588833612782,transformed_11,0.05306997611773864
fold_4,46.41588833612782,transformed_12,-0.13730928273402943
fold_4,46.41588833612782,transformed_13,-0.11218245352079437
fold_4,46.41588833612782,transformed_14,-0.12336298753655445
fold_4,46.41588833612782,transformed_15,-0.06446396323090342
fold_4,46.41588833612782,transformed_16,-0.020916477387172838
fold_4,46.41588833612782,transformed_17,0.16541629876477315
fold_4,46.41588833612782,transformed_18,0.20674509670274532
fold_4,46.41588833612782,transformed_19,0.007439590955273995
fold_4,46.41588833612782,transformed_20,-0.06794009330595302
fold_4,46.41588833612782,transformed_21,-0.08495732185457967
fold_4,46.41588833612782,transformed_22,0.021000755862667003
fold_4,46.41588833612782,transformed_23,-0.02447567745288815
fold_4,46.41588833612782,transformed_24,0.010677008508002114
fold_4,46.41588833612782,transformed_25,-0.02330366031699259
fold_4,46.41588833612782,transformed_26,-0.017749224266529216
fold_4,46.41588833612782,transformed_27,0.04072551722794207
fold_4,46.41588833612782,transformed_28,0.016663705764638354
fold_4,46.41588833612782,transformed_29,0.015801069997494213
fold_4,46.41588833612782,transformed_30,0.025980444191383317
fold_4,46.41588833612782,transformed_31,0.0034953307593581506
fold_4,46.41588833612782,transformed_32,-0.0034953307593567073
fold_4,46.41588833612782,transformed_33,-0.003495330759355403
fold_4,46.41588833612782,transformed_34,-0.0034953307593552085
fold_4,46.41588833612782,transformed_35,-0.003495330759356541
fold_4,46.41588833612782,transformed_36,-0.0034953307593553196
fold_4,46.41588833612782,transformed_37,-0.0034953307593536542
fold_4,46.41588833612782,transformed_38,-0.0034953307593536542
fold_4,46.41588833612782,transformed_39,-0.0034953307593536265
fold_4,46.41588833612782,transformed_40,-0.0034953307593520166
fold_5,8.886238162743407,transformed_0,0.13157687988901867
fold_5,8.886238162743407,transformed_1,-0.27626322897294875
fold_5,8.886238162743407,transformed_2,-0.03810274106308864
fold_5,8.886238162743407,transformed_3,-0.14758148573265212
fold_5,8.886238162743407,transformed_4,-0.10626445643136162
fold_5,8.886238162743407,transformed_5,0.014010660309726343
fold_5,8.886238162743407,transformed_6,-0.026814179127511995
fold_5,8.886238162743407,transformed_7,0.13804610274376572
fold_5,8.886238162743407,transformed_8,-0.03196751235962847
fold_5,8.886238162743407,transformed_9,-0.07796428962963897
fold_5,8.886238162743407,transformed_10,-0.039755718400864115
fold_5,8.886238162743407,transformed_11,0.05452154049601232
fold_5,8.886238162743407,transformed_12,-0.29809543657776505
fold_5,8.886238162743407,transformed_13,-0.03914717315794891
fold_5,8.886238162743407,transformed_14,-0.20974909437483713
fold_5,8.886238162743407,transformed_15,-0.15198300309450374
fold_5,8.886238162743407,transformed_16,0.1398823590513626
fold_5,8.886238162743407,transformed_17,0.0970984123229286
fold_5,8.886238162743407,transformed_18,0.206486174790232
fold_5,8.886238162743407,transformed_19,0.02657449688307581
fold_5,8.886238162743407,transformed_20,-0.04992707225273174
fold_5,8.886238162743407,transformed_21,-0.045227606753937055
fold_5,8.886238162743407,transformed_22,-0.08231675167611545
fold_5,8.886238162743407,transformed_23,-0.07789804245427587
fold_5,8.886238162743407,transformed_24,-0.06187072078016431
fold_5,8.886238162743407,transformed_25,-0.02402017175505544
fold_5,8.886238162743407,transformed_26,-0.016587877661842665
fold_5,8.886238162743407,transformed_27,0.11864868253033478
fold_5,8.886238162743407,transformed_28,0.0922861636044029
fold_5,8.886238162743407,transformed_29,0.07483761525373485
fold_5,8.886238162743407,transformed_30,-0.06463661679475073
fold_5,8.886238162743407,transformed_31,0.007564748688865475
fold_5,8.886238162743407,transformed_32,-0.007564748688860146
fold_5,8.886238162743407,transformed_33,-0.007564748688873468
fold_5,8.886238162743407,transformed_34,-0.007564748688871692
fold_5,8.886238162743407,transformed_35,-0.007564748688863476
fold_5,8.886238162743407,transformed_36,-0.007564748688873468
fold_5,8.886238162743407,transformed_37,-0.007564748688858813
fold_5,8.886238162743407,transformed_38,-0.007564748688860146
fold_5,8.886238162743407,transformed_39,-0.007564748688857259
fold_5,8.886238162743407,transformed_40,-0.007564748688857925
