feature,importance
rainy_day_sum,0.16739972
Distance_to_Coast_first,0.16239698
lat_first,0.09722079
wind_speed_10m_ms_mean,0.08346629
lon_first,0.052594148
wind_speed_10m_ms_max,0.042719238
Distance_to_River_first,0.042660743
runoff_mm_sum,0.04023262
DEM_first,0.032886468
soil_moisture_layer1_vol_mean,0.030282881
solar_radiation_mj_m2_sum,0.029303482
runoff_mm_max,0.02531392
potential_evaporation_mm_sum,0.018555248
Red_SWIR1_median_week,0.017542968
week_sin,0.013867972
NDVI_median_week,0.013155048
precipitation_mm_sum,0.012817204
week_cos,0.012679654
doy_sin,0.012226524
temperature_2m_c_mean,0.01201005
doy_cos,0.010798889
surface_pressure_hpa_min,0.009582721
B12_median_week,0.009480095
B11_median_week,0.009145764
Red_SWIR2_median_week,0.008792284
NDWI_median_week,0.008547495
NDCI_median_week,0.008391885
MNDWI_median_week,0.008086833
BGRratio_median_week,0.007842096
s2_available,0.0
