feature,importance,split
lon_first,0.07630698,fold_1
lat_first,0.046515994,fold_1
DEM_first,0.028390609,fold_1
Distance_to_River_first,0.02834129,fold_1
Distance_to_Coast_first,0.13458641,fold_1
doy_sin,0.013393574,fold_1
doy_cos,0.011649201,fold_1
week_sin,0.018469151,fold_1
week_cos,0.01234282,fold_1
temperature_2m_c_mean,0.010064575,fold_1
precipitation_mm_sum,0.015038384,fold_1
rainy_day_sum,0.15555298,fold_1
potential_evaporation_mm_sum,0.026309028,fold_1
runoff_mm_sum,0.07705948,fold_1
runoff_mm_max,0.03696607,fold_1
wind_speed_10m_ms_mean,0.10279823,fold_1
wind_speed_10m_ms_max,0.044537086,fold_1
surface_pressure_hpa_min,0.009640486,fold_1
soil_moisture_layer1_vol_mean,0.019832045,fold_1
solar_radiation_mj_m2_sum,0.020668613,fold_1
MNDWI_median_week,0.009197218,fold_1
NDWI_median_week,0.0059060203,fold_1
NDVI_median_week,0.018268684,fold_1
B11_median_week,0.010630093,fold_1
B12_median_week,0.016031815,fold_1
Red_SWIR1_median_week,0.020373799,fold_1
Red_SWIR2_median_week,0.006444291,fold_1
BGRratio_median_week,0.013975685,fold_1
NDCI_median_week,0.010709328,fold_1
s2_available,0.0,fold_1
lon_first,0.07217101,fold_2
lat_first,0.11826516,fold_2
DEM_first,0.027994001,fold_2
Distance_to_River_first,0.06540487,fold_2
Distance_to_Coast_first,0.14907114,fold_2
doy_sin,0.012726797,fold_2
doy_cos,0.013435559,fold_2
week_sin,0.01746885,fold_2
week_cos,0.017613646,fold_2
temperature_2m_c_mean,0.011748297,fold_2
precipitation_mm_sum,0.014821247,fold_2
rainy_day_sum,0.140335,fold_2
potential_evaporation_mm_sum,0.012789686,fold_2
runoff_mm_sum,0.04061332,fold_2
runoff_mm_max,0.024728175,fold_2
wind_speed_10m_ms_mean,0.061061,fold_2
wind_speed_10m_ms_max,0.04374385,fold_2
surface_pressure_hpa_min,0.012339318,fold_2
soil_moisture_layer1_vol_mean,0.028271291,fold_2
solar_radiation_mj_m2_sum,0.037796315,fold_2
MNDWI_median_week,0.0052104266,fold_2
NDWI_median_week,0.0101164095,fold_2
NDVI_median_week,0.013134695,fold_2
B11_median_week,0.0062590903,fold_2
B12_median_week,0.007866236,fold_2
Red_SWIR1_median_week,0.010986755,fold_2
Red_SWIR2_median_week,0.009930961,fold_2
BGRratio_median_week,0.006356799,fold_2
NDCI_median_week,0.007740233,fold_2
s2_available,0.0,fold_2
lon_first,0.0497223,fold_3
lat_first,0.10615679,fold_3
DEM_first,0.043185662,fold_3
Distance_to_River_first,0.021936288,fold_3
Distance_to_Coast_first,0.2674838,fold_3
doy_sin,0.0107320165,fold_3
doy_cos,0.008039795,fold_3
week_sin,0.0024931903,fold_3
week_cos,0.006941377,fold_3
temperature_2m_c_mean,0.0131924115,fold_3
precipitation_mm_sum,0.0128027275,fold_3
rainy_day_sum,0.20266858,fold_3
potential_evaporation_mm_sum,0.0147118345,fold_3
runoff_mm_sum,0.014574544,fold_3
runoff_mm_max,0.020868083,fold_3
wind_speed_10m_ms_mean,0.027561817,fold_3
wind_speed_10m_ms_max,0.007527826,fold_3
surface_pressure_hpa_min,0.008055731,fold_3
soil_moisture_layer1_vol_mean,0.047882296,fold_3
solar_radiation_mj_m2_sum,0.024542436,fold_3
MNDWI_median_week,0.0075508514,fold_3
NDWI_median_week,0.0120945675,fold_3
NDVI_median_week,0.008317493,fold_3
B11_median_week,0.007822505,fold_3
B12_median_week,0.006386803,fold_3
Red_SWIR1_median_week,0.020540185,fold_3
Red_SWIR2_median_week,0.010349965,fold_3
BGRratio_median_week,0.006373933,fold_3
NDCI_median_week,0.009484141,fold_3
s2_available,0.0,fold_3
lon_first,0.027286384,fold_4
lat_first,0.10530073,fold_4
DEM_first,0.0326056,fold_4
Distance_to_River_first,0.037158962,fold_4
Distance_to_Coast_first,0.05035103,fold_4
doy_sin,0.011667304,fold_4
doy_cos,0.010507832,fold_4
week_sin,0.022046788,fold_4
week_cos,0.012744624,fold_4
temperature_2m_c_mean,0.010671565,fold_4
precipitation_mm_sum,0.010919149,fold_4
rainy_day_sum,0.23042512,fold_4
potential_evaporation_mm_sum,0.017038452,fold_4
runoff_mm_sum,0.034258742,fold_4
runoff_mm_max,0.020579293,fold_4
wind_speed_10m_ms_mean,0.13180533,fold_4
wind_speed_10m_ms_max,0.062856585,fold_4
surface_pressure_hpa_min,0.008599988,fold_4
soil_moisture_layer1_vol_mean,0.027348815,fold_4
solar_radiation_mj_m2_sum,0.044182472,fold_4
MNDWI_median_week,0.010436994,fold_4
NDWI_median_week,0.009446143,fold_4
NDVI_median_week,0.014998738,fold_4
B11_median_week,0.008076204,fold_4
B12_median_week,0.008207711,fold_4
Red_SWIR1_median_week,0.018356845,fold_4
Red_SWIR2_median_week,0.011061654,fold_4
BGRratio_median_week,0.0034392953,fold_4
NDCI_median_week,0.0076217223,fold_4
s2_available,0.0,fold_4
lon_first,0.037484065,fold_5
lat_first,0.10986526,fold_5
DEM_first,0.032256477,fold_5
Distance_to_River_first,0.0604623,fold_5
Distance_to_Coast_first,0.2104925,fold_5
doy_sin,0.012612927,fold_5
doy_cos,0.010362058,fold_5
week_sin,0.008861889,fold_5
week_cos,0.013755809,fold_5
temperature_2m_c_mean,0.014373399,fold_5
precipitation_mm_sum,0.01050451,fold_5
rainy_day_sum,0.10801691,fold_5
potential_evaporation_mm_sum,0.021927234,fold_5
runoff_mm_sum,0.03465704,fold_5
runoff_mm_max,0.023427974,fold_5
wind_speed_10m_ms_mean,0.09410508,fold_5
wind_speed_10m_ms_max,0.05493085,fold_5
surface_pressure_hpa_min,0.009278082,fold_5
soil_moisture_layer1_vol_mean,0.028079964,fold_5
solar_radiation_mj_m2_sum,0.019327572,fold_5
MNDWI_median_week,0.008038678,fold_5
NDWI_median_week,0.0051743356,fold_5
NDVI_median_week,0.011055626,fold_5
B11_median_week,0.012940924,fold_5
B12_median_week,0.0089079095,fold_5
Red_SWIR1_median_week,0.01745725,fold_5
Red_SWIR2_median_week,0.00617455,fold_5
BGRratio_median_week,0.009064763,fold_5
NDCI_median_week,0.0064040036,fold_5
s2_available,0.0,fold_5
