split,n_train,n_val,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,664,231,222,4,"GOQUAO,LANGTHE,TRAVINH,TUYENNHON",222,0.22558353958627242,2.3100199133294814,1.8157620057390769,1.1634764197219447
fold_2,664,231,222,4,"ANNINH,CAIHOP,TANAN,TRANDE",222,0.42240679444615936,5.461987077902615,4.149205546038491,-1.6950655744649572
fold_3,661,231,225,7,"ANDINH,GIONGTROM,HUNGMY,MYHOA,THANHPHU,THOIBINH,TRAKHA",225,-0.1694489054107493,7.005006765447912,5.242173417442565,-1.9905763298549348
fold_4,661,231,225,6,"ANLACTAY,CAUNOI,DAINGAI,LONGPHU,SOCTRANG,XEORO",225,0.028679062989223847,5.495736728868961,4.258819645313989,-1.26153732736527
fold_5,642,252,223,9,"ANTHUAN,BENLUC,BENTRAI,CAUQUAN,HOABINH,HUONGMY,KHANHTHANHTAN,LOCTHUAN,XUANKHANH",223,0.35871910161320475,5.91044104543486,3.828201739629211,0.22223307398020795
