split,model,n_train,n_test,n_holdout_stations,holdout_stations,n,r2_log,rmse_gl,mae_gl,bias_gl
fold_1,ridge,193,63,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",63,0.36969493940592013,8.093519072872782,3.8992101122051652,-2.1754557562732733
fold_1,idw,193,63,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",62,0.39268961164405625,5.403962505101435,3.08490794282087,-0.40773148272990967
fold_1,ridge_residual_idw,193,63,7,"ANTHUAN,GIONGTROM,LANGTHE,MYHOA,THOIBINH,TRAVINH,TUYENNHON",63,0.00895378380780576,8.51690465922565,3.6568629904702856,-2.6776803181832247
fold_2,ridge,194,62,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",62,0.5502218244908605,4.1593184705570465,3.3049918935408362,-0.6872472249371753
fold_2,idw,194,62,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",62,0.3618121467422082,5.440104945172568,4.476535275798904,-0.7157457168657092
fold_2,ridge_residual_idw,194,62,6,"ANDINH,ANLACTAY,CAIHOP,KHANHTHANHTAN,TANAN,TRANDE",62,0.6336782661522592,4.011498336469966,3.2228110899090927,-0.61545477535572
fold_3,ridge,194,62,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",62,0.674697736340563,2.9219282571661793,2.3227445032007887,-1.0097853669788275
fold_3,idw,194,62,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",62,0.41549044603354957,3.520687854388476,3.041093466665633,-1.2279804392850877
fold_3,ridge_residual_idw,194,62,5,"HOABINH,HUNGMY,LONGPHU,THANHPHU,TRAKHA",62,0.5545956659241968,2.799369793449287,1.9831057432629056,-1.0129728317790612
fold_4,ridge,194,62,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",62,-0.20285551135857438,5.932403960130412,4.975763644516577,-0.1772489030556842
fold_4,idw,194,62,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",62,-0.6091989157790478,6.080268178808612,5.055048121257773,-0.038476965374296526
fold_4,ridge_residual_idw,194,62,5,"BENTRAI,CAUNOI,DAINGAI,GOQUAO,SOCTRANG",62,-0.1886970531343839,5.569175440608213,4.838539679486396,0.27911490618230234
fold_5,ridge,189,62,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",62,0.6196075362934352,6.275564491436267,2.857603884790961,0.5702959982657533
fold_5,idw,189,62,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",62,0.7192732504088246,2.7045634739766484,1.6693280479994126,-0.18637807101073983
fold_5,ridge_residual_idw,189,62,7,"ANNINH,BENLUC,CAUQUAN,HUONGMY,LOCTHUAN,XEORO,XUANKHANH",62,0.4460345166723483,6.292187021625426,2.9398937015710715,-0.22146061723759305
