name,feature_set,lookback,hidden,layers,dropout,best_epoch,val_rmse,val_mae,val_r2,test_rmse_diagnostic,elapsed_seconds,n_features
a01_salinity_l30,salinity,30,64,1,0.1,35,1.3219305276870728,0.8450651168823242,0.954316685790193,1.4227964878082275,21.64486026763916,9
a02_weather_l30,weather,30,64,1,0.1,6,1.8118075132369995,1.287774682044983,0.9141847568423586,1.6596285104751587,7.868964672088623,23
b01_multi_l14,multisource_compact,14,64,1,0.1,5,1.910506248474121,1.3990694284439087,0.9045804704410682,1.9955006837844849,4.191910982131958,49
b02_multi_l60,multisource_compact,60,64,1,0.1,15,1.96707284450531,1.4568092823028564,0.8988464273508661,1.9399675130844116,23.409635066986084,49
a03_multi_compact_l30,multisource_compact,30,64,1,0.1,5,1.9761158227920532,1.4385550022125244,0.8979142472371638,1.9380502700805664,7.863983154296875,49
b03_multi_h128,multisource_compact,30,128,1,0.15,2,2.0102720260620117,1.4688820838928223,0.8943547435145117,2.0577239990234375,10.546241044998169,49
b04_multi_2layer,multisource_compact,30,96,2,0.2,4,2.279569387435913,1.6667863130569458,0.8641542916463134,2.1376616954803467,19.460119247436523,49
a04_multi_full_l30,multisource,30,64,1,0.1,11,2.4350621700286865,1.8416043519973755,0.8449897526861514,2.3014066219329834,11.508471012115479,97
