epoch,train_loss,val_rmse,val_mae,val_r2
1,0.12543055244854517,3.223940134048462,2.592320680618286,0.7282845999709495
2,0.07079193549496787,3.387037515640259,2.72381591796875,0.7000973170142128
3,0.06771587442074503,3.13729190826416,2.444610357284546,0.7426938414772397
4,0.05906588315431561,2.899383544921875,2.1992263793945312,0.780238485048747
5,0.05498611953641687,3.216301918029785,2.3877861499786377,0.7295705582366456
6,0.052018822516713824,2.717863082885742,2.02755069732666,0.8068941401304708
7,0.05217408968933991,3.0685031414031982,2.256976842880249,0.7538536231204014
8,0.04947875951017652,3.109553575515747,2.25742769241333,0.7472236744489614
9,0.047760580373661855,3.5013701915740967,2.6513490676879883,0.6795085919815078
10,0.044477605074644086,3.8466382026672363,2.8784053325653076,0.6131852765518562
11,0.04238861586366381,3.637083053588867,2.6156294345855713,0.6541826487837538
12,0.04135040582290717,3.7510762214660645,2.702399253845215,0.6321658048775699
13,0.04123796043651445,3.708500862121582,2.7024784088134766,0.6404683631578145
14,0.0377261788717338,3.9871201515197754,2.8785481452941895,0.5844158810792116
