station_id,target_date,target,input_start,input_end,split
AN_THUAN,2020-02-07,24.0,2020-01-02,2020-01-31,train
AN_THUAN,2020-02-08,25.700000762939453,2020-01-03,2020-02-01,train
AN_THUAN,2020-02-10,27.799999237060547,2020-01-05,2020-02-03,train
AN_THUAN,2020-02-11,28.799999237060547,2020-01-06,2020-02-04,train
AN_THUAN,2020-02-12,29.299999237060547,2020-01-07,2020-02-05,train
AN_THUAN,2020-02-16,28.799999237060547,2020-01-11,2020-02-09,train
AN_THUAN,2020-02-17,29.299999237060547,2020-01-12,2020-02-10,train
AN_THUAN,2020-02-20,27.700000762939453,2020-01-15,2020-02-13,train
AN_THUAN,2020-02-21,28.899999618530273,2020-01-16,2020-02-14,train
AN_THUAN,2020-02-24,28.700000762939453,2020-01-19,2020-02-17,train
AN_THUAN,2020-02-25,28.899999618530273,2020-01-20,2020-02-18,train
AN_THUAN,2020-02-28,28.5,2020-01-23,2020-02-21,train
AN_THUAN,2020-02-29,29.5,2020-01-24,2020-02-22,train
AN_THUAN,2020-03-03,27.799999237060547,2020-01-27,2020-02-25,train
AN_THUAN,2020-03-04,28.100000381469727,2020-01-28,2020-02-26,train
AN_THUAN,2020-03-07,28.899999618530273,2020-01-31,2020-02-29,train
AN_THUAN,2020-03-08,27.700000762939453,2020-02-01,2020-03-01,train
AN_THUAN,2020-03-09,27.799999237060547,2020-02-02,2020-03-02,train
AN_THUAN,2020-03-11,27.5,2020-02-04,2020-03-04,train
AN_THUAN,2020-03-12,28.600000381469727,2020-02-05,2020-03-05,train
AN_THUAN,2020-03-17,27.399999618530273,2020-02-10,2020-03-10,train
AN_THUAN,2020-03-18,27.299999237060547,2020-02-11,2020-03-11,train
AN_THUAN,2020-03-19,27.700000762939453,2020-02-12,2020-03-12,train
AN_THUAN,2020-03-23,26.799999237060547,2020-02-16,2020-03-16,train
AN_THUAN,2020-03-24,27.200000762939453,2020-02-17,2020-03-17,train
AN_THUAN,2020-03-25,28.299999237060547,2020-02-18,2020-03-18,train
AN_THUAN,2020-03-29,26.899999618530273,2020-02-22,2020-03-22,train
AN_THUAN,2020-03-30,27.399999618530273,2020-02-23,2020-03-23,train
AN_THUAN,2020-04-02,26.600000381469727,2020-02-26,2020-03-26,train
AN_THUAN,2020-04-03,27.200000762939453,2020-02-27,2020-03-27,train
AN_THUAN,2020-04-04,27.299999237060547,2020-02-28,2020-03-28,train
AN_THUAN,2020-04-08,27.399999618530273,2020-03-03,2020-04-01,train
AN_THUAN,2020-04-09,27.700000762939453,2020-03-04,2020-04-02,train
