epoch,train_loss,val_rmse,val_mae,val_r2
1,0.13212799461824554,2.6150968074798584,2.102184534072876,0.8212212469734825
2,0.05414125387157712,2.6559159755706787,2.148836135864258,0.8155965879289642
3,0.04366171956062317,2.520932197570801,1.9754201173782349,0.8338644192870588
4,0.03897390684911183,2.279569387435913,1.6667863130569458,0.8641542916463134
5,0.03396389377968652,2.30107045173645,1.6399943828582764,0.8615795825363695
6,0.032931983577353614,2.3830487728118896,1.6519005298614502,0.8515411226420877
7,0.0297988766006061,2.515831470489502,1.8802753686904907,0.8345360295972356
8,0.026879749234233585,2.477018117904663,1.8149809837341309,0.8396020859653467
9,0.023932534669126784,2.4191057682037354,1.8262598514556885,0.8470145653939956
10,0.023574032528059823,2.3966293334960938,1.74416184425354,0.8498442301616572
11,0.022674730313675746,2.418464183807373,1.820101022720337,0.8470957144413146
12,0.021964970656803678,2.5563933849334717,1.902693748474121,0.8291575812845212
