model,r2_log,rmse_gl,mae_gl,bias_gl
idw,-0.9844140520493948,3.4868708288096615,2.8616981270139514,-1.0866882202819046
ridge,-0.7467130011074586,3.6589912230599237,2.952999674041005,-0.8927766352498772
ridge_residual_idw,-0.22233072235483836,2.942451150720715,2.3532367879357934,-0.991446950969892
