epoch,train_loss,val_rmse,val_mae,val_r2
1,0.15039051281554358,2.5815165042877197,2.045746088027954,0.8257831607783908
2,0.04414126814476081,2.1047940254211426,1.5767453908920288,0.8841864142232345
3,0.037000069501144546,2.145075798034668,1.60088050365448,0.8797110800163234
4,0.03165334580200059,2.1587514877319336,1.6152125597000122,0.8781724272118749
5,0.02788814077419894,1.9761158227920532,1.4385550022125244,0.8979142472371638
6,0.02671682254544326,2.204413890838623,1.5935167074203491,0.8729640652924577
7,0.0249173853546381,2.199206829071045,1.6466493606567383,0.8735634840650637
8,0.022788619143622263,2.2663815021514893,1.7720351219177246,0.8657215273135828
9,0.022631818827773844,2.1648616790771484,1.570754051208496,0.8774818003114238
10,0.02075144523488624,2.252163887023926,1.6897754669189453,0.8674009879195951
11,0.01966975453708853,2.1271612644195557,1.586213231086731,0.8817118900766872
12,0.018727052584290506,2.1932098865509033,1.626929521560669,0.8742521010819899
13,0.018139553309551307,2.201965570449829,1.6479005813598633,0.8732460964003528
